aligner,dataset,testcase,Q_score,time_elapsed_ms
MAli-v0.1,BALIS-2,BB11001,0.0497,54
MAli-v0.1,BALIS-2,BB11002,0.0168,56
MAli-v0.1,BALIS-2,BB11003,0.0115,55
MAli-v0.1,BALIS-2,BB11006,0.00595,56
MAli-v0.1,BALIS-2,BB11007,0.0575,55
MAli-v0.1,BALIS-2,BB11010,0.0,53
MAli-v0.1,BALIS-2,BB11012,0.0219,53
MAli-v0.1,BALIS-2,BB11013,0.0103,54
MAli-v0.1,BALIS-2,BB11017,0.0574,53
MAli-v0.1,BALIS-2,BB11020,0.033,54
MAli-v0.1,BALIS-2,BB11023,0.0215,54
MAli-v0.1,BALIS-2,BB11024,0.0,52
MAli-v0.1,BALIS-2,BB11026,0.0,54
MAli-v0.1,BALIS-2,BB11028,0.0211,53
MAli-v0.1,BALIS-2,BB11030,0.0177,59
MAli-v0.1,BALIS-2,BB11032,0.023,55
MAli-v0.1,BALIS-2,BB11034,0.00607,56
MAli-v0.1,BALIS-2,BB11035,0.0297,106
MAli-v0.1,BALIS-2,BB11036,0.0194,59
MAli-v0.1,BALIS-2,BB12001,0.0109,53
MAli-v0.1,BALIS-2,BB12003,0.198,54
MAli-v0.1,BALIS-2,BB12006,0.11,55
MAli-v0.1,BALIS-2,BB12008,0.104,59
MAli-v0.1,BALIS-2,BB12015,0.0278,59
MAli-v0.1,BALIS-2,BB12017,0.0243,55
MAli-v0.1,BALIS-2,BB12020,0.159,52
MAli-v0.1,BALIS-2,BB12022,0.0327,53
MAli-v0.1,BALIS-2,BB12025,0.224,55
MAli-v0.1,BALIS-2,BB12032,0.248,54
MAli-v0.1,BALIS-2,BB12033,0.0104,51
MAli-v0.1,BALIS-2,BB12035,0.0819,51
MAli-v0.1,BALIS-2,BB12036,0.0376,51
MAli-v0.1,BALIS-2,BB12038,0.14,52
MAli-v0.1,BALIS-2,BB12041,0.0804,50
MAli-v0.1,BALIS-2,BB12043,0.0923,50
MAli-v0.1,BALIS-2,BB20002,0.0,53
MAli-v0.1,BALIS-2,BB20005,0.0225,54
MAli-v0.1,BALIS-2,BB20010,0.0441,51
MAli-v0.1,BALIS-2,BB20016,0.0198,51
MAli-v0.1,BALIS-2,BB20018,0.0278,53
MAli-v0.1,BALIS-2,BB20019,0.0133,53
MAli-v0.1,BALIS-2,BB20020,0.044,52
MAli-v0.1,BALIS-2,BB20025,0.0,51
MAli-v0.1,BALIS-2,BB20026,0.0,52
MAli-v0.1,BALIS-2,BB20028,0.0106,53
MAli-v0.1,BALIS-2,BB20029,0.023,52
MAli-v0.1,BALIS-2,BB20030,0.0625,51
MAli-v0.1,BALIS-2,BB20031,0.0111,54
MAli-v0.1,BALIS-2,BB20032,0.0424,57
MAli-v0.1,BALIS-2,BB20033,0.128,52
MAli-v0.1,BALIS-2,BB20034,0.00935,51
MAli-v0.1,BALIS-2,BB20035,0.0143,52
MAli-v0.1,BALIS-2,BB20036,0.0037,54
MAli-v0.1,BALIS-2,BB20037,0.0179,56
MAli-v0.1,BALIS-2,BB20038,0.00952,53
MAli-v0.1,BALIS-2,BB20039,0.00485,52
MAli-v0.1,BALIS-2,BB20040,0.034,53
MAli-v0.1,BALIS-2,BB30002,0.00646,51
MAli-v0.1,BALIS-2,BB30003,0.0135,53
MAli-v0.1,BALIS-2,BB30005,0.0684,52
MAli-v0.1,BALIS-2,BB30009,0.0494,52
MAli-v0.1,BALIS-2,BB30010,0.0216,51
MAli-v0.1,BALIS-2,BB30012,0.0429,53
MAli-v0.1,BALIS-2,BB30013,0.00957,53
MAli-v0.1,BALIS-2,BB30020,0.00476,53
MAli-v0.1,BALIS-2,BB30024,0.0162,53
MAli-v0.1,BALIS-2,BB30030,0.0178,53
MAli-v0.1,BALIS-2,BB40002,0.01,52
MAli-v0.1,BALIS-2,BB40006,0.0444,53
MAli-v0.1,BALIS-2,BB40011,0.0299,52
MAli-v0.1,BALIS-2,BB40012,0.0177,53
MAli-v0.1,BALIS-2,BB40013,0.0229,54
MAli-v0.1,BALIS-2,BB40014,0.0823,54
MAli-v0.1,BALIS-2,BB40017,0.0253,51
MAli-v0.1,BALIS-2,BB40023,0.0721,54
MAli-v0.1,BALIS-2,BB40030,0.0171,53
MAli-v0.1,BALIS-2,BB40034,0.00219,54
MAli-v0.1,BALIS-2,BB40035,0.0833,51
MAli-v0.1,BALIS-2,BB40040,0.119,53
MAli-v0.1,BALIS-2,BB40042,0.026,54
MAli-v0.1,BALIS-2,BB40043,0.005,52
MAli-v0.1,BALIS-2,BB40044,0.0107,57
MAli-v0.1,BALIS-2,BB40045,0.0842,51
MAli-v0.1,BALIS-2,BB50002,0.00824,59
MAli-v0.1,BALIS-2,BB50003,0.066,52
MAli-v0.1,BALIS-2,BB50006,0.00292,53
MAli-v0.1,BALIS-2,BB50009,0.004,51
MAli-v0.1,BALIS-2,BB50010,0.0,53
MAli-v0.1,BALIS-2,BB50013,0.0,52
MAli-v0.1,BALIS-2,BB50015,0.00739,52
