aligner,dataset,testcase,Q_score,time_elapsed_ms
MAli-v1.3,BALIS-2,BB11001,0.652,875
MAli-v1.3,BALIS-2,BB11002,0.0483,1257
MAli-v1.3,BALIS-2,BB11003,0.195,1904
MAli-v1.3,BALIS-2,BB11006,0.103,1644
MAli-v1.3,BALIS-2,BB11007,0.174,2974
MAli-v1.3,BALIS-2,BB11010,0.111,1999
MAli-v1.3,BALIS-2,BB11012,0.546,1635
MAli-v1.3,BALIS-2,BB11013,0.0759,1019
MAli-v1.3,BALIS-2,BB11017,0.418,1301
MAli-v1.3,BALIS-2,BB11020,0.133,1576
MAli-v1.3,BALIS-2,BB11023,0.105,1693
MAli-v1.3,BALIS-2,BB11024,0.0518,1825
MAli-v1.3,BALIS-2,BB11026,0.0659,2914
MAli-v1.3,BALIS-2,BB11028,0.0522,1423
MAli-v1.3,BALIS-2,BB11030,0.0369,3081
MAli-v1.3,BALIS-2,BB11032,0.0258,2575
MAli-v1.3,BALIS-2,BB11034,0.0521,3965
MAli-v1.3,BALIS-2,BB11035,0.157,1066
MAli-v1.3,BALIS-2,BB11036,0.0835,2077
MAli-v1.3,BALIS-2,BB12001,0.464,1927
MAli-v1.3,BALIS-2,BB12003,0.892,552
MAli-v1.3,BALIS-2,BB12006,0.83,1193
MAli-v1.3,BALIS-2,BB12008,0.808,1712
MAli-v1.3,BALIS-2,BB12015,0.261,1246
MAli-v1.3,BALIS-2,BB12017,0.542,2046
MAli-v1.3,BALIS-2,BB12020,0.763,983
MAli-v1.3,BALIS-2,BB12022,0.621,1016
MAli-v1.3,BALIS-2,BB12025,0.807,1201
MAli-v1.3,BALIS-2,BB12032,0.852,676
MAli-v1.3,BALIS-2,BB12033,0.509,1744
MAli-v1.3,BALIS-2,BB12035,0.812,1464
MAli-v1.3,BALIS-2,BB12036,0.73,1390
MAli-v1.3,BALIS-2,BB12038,0.857,1299
MAli-v1.3,BALIS-2,BB12041,0.733,1070
MAli-v1.3,BALIS-2,BB12043,0.879,1571
MAli-v1.3,BALIS-2,BB20002,0.0,1155
MAli-v1.3,BALIS-2,BB20005,0.0552,3213
MAli-v1.3,BALIS-2,BB20010,0.545,2375
MAli-v1.3,BALIS-2,BB20016,0.279,1868
MAli-v1.3,BALIS-2,BB20018,0.599,1654
MAli-v1.3,BALIS-2,BB20019,0.00133,2428
MAli-v1.3,BALIS-2,BB20020,0.651,1477
MAli-v1.3,BALIS-2,BB20025,0.201,1787
MAli-v1.3,BALIS-2,BB20026,0.0,2718
MAli-v1.3,BALIS-2,BB20028,0.572,2039
MAli-v1.3,BALIS-2,BB20029,0.0747,843
MAli-v1.3,BALIS-2,BB20030,0.167,841
MAli-v1.3,BALIS-2,BB20031,0.0714,1856
MAli-v1.3,BALIS-2,BB20032,0.509,930
MAli-v1.3,BALIS-2,BB20033,0.463,884
MAli-v1.3,BALIS-2,BB20034,0.0179,2486
MAli-v1.3,BALIS-2,BB20035,0.209,1787
MAli-v1.3,BALIS-2,BB20036,0.0519,1295
MAli-v1.3,BALIS-2,BB20037,0.0827,2730
MAli-v1.3,BALIS-2,BB20038,0.343,898
MAli-v1.3,BALIS-2,BB20039,0.032,2536
MAli-v1.3,BALIS-2,BB20040,0.375,1937
MAli-v1.3,BALIS-2,BB30002,0.244,1739
MAli-v1.3,BALIS-2,BB30003,0.0647,3495
MAli-v1.3,BALIS-2,BB30005,0.558,2403
MAli-v1.3,BALIS-2,BB30009,0.0,856
MAli-v1.3,BALIS-2,BB30010,0.267,2325
MAli-v1.3,BALIS-2,BB30012,0.393,1915
MAli-v1.3,BALIS-2,BB30013,0.0313,2471
MAli-v1.3,BALIS-2,BB30020,0.124,1677
MAli-v1.3,BALIS-2,BB30024,0.0838,2092
MAli-v1.3,BALIS-2,BB30030,0.0559,2250
MAli-v1.3,BALIS-2,BB40002,0.424,1390
MAli-v1.3,BALIS-2,BB40006,0.373,1829
MAli-v1.3,BALIS-2,BB40011,0.525,1542
MAli-v1.3,BALIS-2,BB40012,0.66,1496
MAli-v1.3,BALIS-2,BB40013,0.464,1884
MAli-v1.3,BALIS-2,BB40014,0.759,1302
MAli-v1.3,BALIS-2,BB40017,0.481,1345
MAli-v1.3,BALIS-2,BB40023,0.548,2092
MAli-v1.3,BALIS-2,BB40030,0.566,1584
MAli-v1.3,BALIS-2,BB40034,0.241,2941
MAli-v1.3,BALIS-2,BB40035,0.93,1461
MAli-v1.3,BALIS-2,BB40040,0.861,1231
MAli-v1.3,BALIS-2,BB40042,0.223,1826
MAli-v1.3,BALIS-2,BB40043,0.244,1865
MAli-v1.3,BALIS-2,BB40044,0.168,1210
MAli-v1.3,BALIS-2,BB40045,0.739,1020
MAli-v1.3,BALIS-2,BB50002,0.0369,5381
MAli-v1.3,BALIS-2,BB50003,0.495,2222
MAli-v1.3,BALIS-2,BB50006,0.0299,5019
MAli-v1.3,BALIS-2,BB50009,0.175,2136
MAli-v1.3,BALIS-2,BB50010,0.18,1818
MAli-v1.3,BALIS-2,BB50013,0.685,1386
MAli-v1.3,BALIS-2,BB50015,0.00985,2566
