aligner,dataset,testcase,Q_score,time_elapsed_ms
ClustalOmega,BALIS-1,BB11004,0.556,81
ClustalOmega,BALIS-1,BB11005,0.442,682
ClustalOmega,BALIS-1,BB11008,0.52,36
ClustalOmega,BALIS-1,BB11009,0.361,31
ClustalOmega,BALIS-1,BB11011,0.48,63
ClustalOmega,BALIS-1,BB11014,0.859,220
ClustalOmega,BALIS-1,BB11015,0.786,42
ClustalOmega,BALIS-1,BB11016,0.81,260
ClustalOmega,BALIS-1,BB11018,0.728,1392
ClustalOmega,BALIS-1,BB11019,0.638,417
ClustalOmega,BALIS-1,BB11021,0.602,19
ClustalOmega,BALIS-1,BB11022,0.177,24
ClustalOmega,BALIS-1,BB11025,0.14,15
ClustalOmega,BALIS-1,BB11027,0.507,69
ClustalOmega,BALIS-1,BB11029,0.458,17
ClustalOmega,BALIS-1,BB11031,0.598,477
ClustalOmega,BALIS-1,BB11033,0.238,108
ClustalOmega,BALIS-1,BB11038,0.838,236
ClustalOmega,BALIS-1,BB12005,0.985,15
ClustalOmega,BALIS-1,BB12013,0.968,63
ClustalOmega,BALIS-1,BB12014,0.992,14
ClustalOmega,BALIS-1,BB12016,0.808,11
ClustalOmega,BALIS-1,BB12021,0.902,12
ClustalOmega,BALIS-1,BB12024,0.98,17
ClustalOmega,BALIS-1,BB12026,0.865,31
ClustalOmega,BALIS-1,BB12028,0.886,55
ClustalOmega,BALIS-1,BB12037,0.968,49
ClustalOmega,BALIS-1,BB12039,0.981,13
ClustalOmega,BALIS-1,BB20001,0.853,10
ClustalOmega,BALIS-1,BB20003,0.505,50
ClustalOmega,BALIS-1,BB20006,0.852,42
ClustalOmega,BALIS-1,BB20007,0.806,400
ClustalOmega,BALIS-1,BB20008,0.855,108
ClustalOmega,BALIS-1,BB20012,0.608,78
ClustalOmega,BALIS-1,BB20014,0.475,53
ClustalOmega,BALIS-1,BB20015,0.0,16
ClustalOmega,BALIS-1,BB20017,0.777,57
ClustalOmega,BALIS-1,BB20021,0.65,135
ClustalOmega,BALIS-1,BB20022,0.544,72
ClustalOmega,BALIS-1,BB20023,0.799,218
ClustalOmega,BALIS-1,BB20024,0.0,13
ClustalOmega,BALIS-1,BB20027,0.827,29
ClustalOmega,BALIS-1,BB20041,0.759,44
ClustalOmega,BALIS-1,BB30001,0.905,185
ClustalOmega,BALIS-1,BB30004,0.856,52
ClustalOmega,BALIS-1,BB30006,0.912,94
ClustalOmega,BALIS-1,BB30008,0.462,54
ClustalOmega,BALIS-1,BB30011,0.845,62
ClustalOmega,BALIS-1,BB30014,0.812,27
ClustalOmega,BALIS-1,BB30015,0.76,40
ClustalOmega,BALIS-1,BB30016,0.284,21
ClustalOmega,BALIS-1,BB30017,0.8,61
ClustalOmega,BALIS-1,BB30018,0.772,38
ClustalOmega,BALIS-1,BB30019,0.641,55
ClustalOmega,BALIS-1,BB30021,0.242,36
ClustalOmega,BALIS-1,BB30022,0.557,21
ClustalOmega,BALIS-1,BB30023,0.796,94
ClustalOmega,BALIS-1,BB30025,0.548,39
ClustalOmega,BALIS-1,BB30026,0.843,99
ClustalOmega,BALIS-1,BB30027,0.42,33
ClustalOmega,BALIS-1,BB30028,0.362,38
ClustalOmega,BALIS-1,BB40008,0.896,51
ClustalOmega,BALIS-1,BB40009,0.929,207
ClustalOmega,BALIS-1,BB40015,0.992,14
ClustalOmega,BALIS-1,BB40016,1.0,31
ClustalOmega,BALIS-1,BB40018,0.835,26
ClustalOmega,BALIS-1,BB40019,0.962,42
ClustalOmega,BALIS-1,BB40022,0.991,37
ClustalOmega,BALIS-1,BB40024,0.62,114
ClustalOmega,BALIS-1,BB40025,0.914,39
ClustalOmega,BALIS-1,BB40026,0.729,515
ClustalOmega,BALIS-1,BB40027,0.601,205
ClustalOmega,BALIS-1,BB40028,0.856,31
ClustalOmega,BALIS-1,BB40029,0.867,52
ClustalOmega,BALIS-1,BB40033,0.763,68
ClustalOmega,BALIS-1,BB40036,0.986,75
ClustalOmega,BALIS-1,BB40037,1.0,12
ClustalOmega,BALIS-1,BB40038,0.803,14
ClustalOmega,BALIS-1,BB40039,0.95,126
ClustalOmega,BALIS-1,BB40041,1.0,103
ClustalOmega,BALIS-1,BB40046,0.373,87
ClustalOmega,BALIS-1,BB40049,0.957,40
ClustalOmega,BALIS-1,BB50001,0.739,32
ClustalOmega,BALIS-1,BB50004,0.998,50
ClustalOmega,BALIS-1,BB50005,0.992,69
ClustalOmega,BALIS-1,BB50007,0.772,195
ClustalOmega,BALIS-1,BB50008,0.973,68
ClustalOmega,BALIS-1,BB50011,0.587,22
ClustalOmega,BALIS-1,BB50012,0.934,89
ClustalOmega,BALIS-1,BB50014,0.966,184
