aligner,dataset,testcase,Q_score,time_elapsed_ms
ClustalW2-MAli-Refine,BALIS-1,BB11004,0.188,940
ClustalW2-MAli-Refine,BALIS-1,BB11005,0.4,1381
ClustalW2-MAli-Refine,BALIS-1,BB11008,0.643,1056
ClustalW2-MAli-Refine,BALIS-1,BB11009,0.339,884
ClustalW2-MAli-Refine,BALIS-1,BB11011,0.357,709
ClustalW2-MAli-Refine,BALIS-1,BB11014,0.818,1149
ClustalW2-MAli-Refine,BALIS-1,BB11015,0.685,888
ClustalW2-MAli-Refine,BALIS-1,BB11016,0.515,1204
ClustalW2-MAli-Refine,BALIS-1,BB11018,0.59,1838
ClustalW2-MAli-Refine,BALIS-1,BB11019,0.587,944
ClustalW2-MAli-Refine,BALIS-1,BB11021,0.35,396
ClustalW2-MAli-Refine,BALIS-1,BB11022,0.212,670
ClustalW2-MAli-Refine,BALIS-1,BB11025,0.237,342
ClustalW2-MAli-Refine,BALIS-1,BB11027,0.341,986
ClustalW2-MAli-Refine,BALIS-1,BB11029,0.503,412
ClustalW2-MAli-Refine,BALIS-1,BB11031,0.335,1154
ClustalW2-MAli-Refine,BALIS-1,BB11033,0.494,803
ClustalW2-MAli-Refine,BALIS-1,BB11038,0.554,1142
ClustalW2-MAli-Refine,BALIS-1,BB12005,0.985,587
ClustalW2-MAli-Refine,BALIS-1,BB12013,0.962,1236
ClustalW2-MAli-Refine,BALIS-1,BB12014,0.91,292
ClustalW2-MAli-Refine,BALIS-1,BB12016,0.795,431
ClustalW2-MAli-Refine,BALIS-1,BB12021,0.949,284
ClustalW2-MAli-Refine,BALIS-1,BB12024,0.972,713
ClustalW2-MAli-Refine,BALIS-1,BB12026,0.897,763
ClustalW2-MAli-Refine,BALIS-1,BB12028,0.87,1031
ClustalW2-MAli-Refine,BALIS-1,BB12037,0.997,1129
ClustalW2-MAli-Refine,BALIS-1,BB12039,0.562,876
ClustalW2-MAli-Refine,BALIS-1,BB20001,0.947,277
ClustalW2-MAli-Refine,BALIS-1,BB20003,0.611,1066
ClustalW2-MAli-Refine,BALIS-1,BB20006,0.805,743
ClustalW2-MAli-Refine,BALIS-1,BB20007,0.769,1028
ClustalW2-MAli-Refine,BALIS-1,BB20008,0.765,1065
ClustalW2-MAli-Refine,BALIS-1,BB20012,0.48,1137
ClustalW2-MAli-Refine,BALIS-1,BB20014,0.428,714
ClustalW2-MAli-Refine,BALIS-1,BB20015,0.04,361
ClustalW2-MAli-Refine,BALIS-1,BB20017,0.812,958
ClustalW2-MAli-Refine,BALIS-1,BB20021,0.22,1020
ClustalW2-MAli-Refine,BALIS-1,BB20022,0.451,894
ClustalW2-MAli-Refine,BALIS-1,BB20023,0.703,813
ClustalW2-MAli-Refine,BALIS-1,BB20024,0.0,640
ClustalW2-MAli-Refine,BALIS-1,BB20027,0.821,991
ClustalW2-MAli-Refine,BALIS-1,BB20041,0.567,1094
ClustalW2-MAli-Refine,BALIS-1,BB30001,0.873,1060
ClustalW2-MAli-Refine,BALIS-1,BB30004,0.879,1228
ClustalW2-MAli-Refine,BALIS-1,BB30006,0.797,1149
ClustalW2-MAli-Refine,BALIS-1,BB30008,0.311,1104
ClustalW2-MAli-Refine,BALIS-1,BB30011,0.837,936
ClustalW2-MAli-Refine,BALIS-1,BB30014,0.796,794
ClustalW2-MAli-Refine,BALIS-1,BB30015,0.663,869
ClustalW2-MAli-Refine,BALIS-1,BB30016,0.284,697
ClustalW2-MAli-Refine,BALIS-1,BB30017,0.686,884
ClustalW2-MAli-Refine,BALIS-1,BB30018,0.333,1015
ClustalW2-MAli-Refine,BALIS-1,BB30019,0.227,1223
ClustalW2-MAli-Refine,BALIS-1,BB30021,0.225,999
ClustalW2-MAli-Refine,BALIS-1,BB30022,0.723,340
ClustalW2-MAli-Refine,BALIS-1,BB30023,0.513,842
ClustalW2-MAli-Refine,BALIS-1,BB30025,0.492,396
ClustalW2-MAli-Refine,BALIS-1,BB30026,0.663,859
ClustalW2-MAli-Refine,BALIS-1,BB30027,0.348,659
ClustalW2-MAli-Refine,BALIS-1,BB30028,0.245,1092
ClustalW2-MAli-Refine,BALIS-1,BB40008,0.904,1090
ClustalW2-MAli-Refine,BALIS-1,BB40009,0.933,1041
ClustalW2-MAli-Refine,BALIS-1,BB40015,1.0,401
ClustalW2-MAli-Refine,BALIS-1,BB40016,1.0,691
ClustalW2-MAli-Refine,BALIS-1,BB40018,0.838,348
ClustalW2-MAli-Refine,BALIS-1,BB40019,0.909,1035
ClustalW2-MAli-Refine,BALIS-1,BB40022,0.93,711
ClustalW2-MAli-Refine,BALIS-1,BB40024,0.507,1067
ClustalW2-MAli-Refine,BALIS-1,BB40025,0.867,799
ClustalW2-MAli-Refine,BALIS-1,BB40026,0.742,1233
ClustalW2-MAli-Refine,BALIS-1,BB40027,0.642,921
ClustalW2-MAli-Refine,BALIS-1,BB40028,0.884,726
ClustalW2-MAli-Refine,BALIS-1,BB40029,0.732,966
ClustalW2-MAli-Refine,BALIS-1,BB40033,0.366,942
ClustalW2-MAli-Refine,BALIS-1,BB40036,0.984,1127
ClustalW2-MAli-Refine,BALIS-1,BB40037,0.978,769
ClustalW2-MAli-Refine,BALIS-1,BB40038,0.828,337
ClustalW2-MAli-Refine,BALIS-1,BB40039,0.926,1077
ClustalW2-MAli-Refine,BALIS-1,BB40041,0.711,1593
ClustalW2-MAli-Refine,BALIS-1,BB40046,0.4,936
ClustalW2-MAli-Refine,BALIS-1,BB40049,0.963,967
ClustalW2-MAli-Refine,BALIS-1,BB50001,0.559,1017
ClustalW2-MAli-Refine,BALIS-1,BB50004,0.995,993
ClustalW2-MAli-Refine,BALIS-1,BB50005,0.99,1047
ClustalW2-MAli-Refine,BALIS-1,BB50007,0.767,899
ClustalW2-MAli-Refine,BALIS-1,BB50008,0.955,802
ClustalW2-MAli-Refine,BALIS-1,BB50011,0.478,910
ClustalW2-MAli-Refine,BALIS-1,BB50012,0.914,986
ClustalW2-MAli-Refine,BALIS-1,BB50014,0.922,968
