aligner,dataset,testcase,Q_score,time_elapsed_ms
ClustalW2,BALIS-1,BB11004,0.188,78
ClustalW2,BALIS-1,BB11005,0.4,392
ClustalW2,BALIS-1,BB11008,0.643,55
ClustalW2,BALIS-1,BB11009,0.339,30
ClustalW2,BALIS-1,BB11011,0.357,32
ClustalW2,BALIS-1,BB11014,0.818,228
ClustalW2,BALIS-1,BB11015,0.685,45
ClustalW2,BALIS-1,BB11016,0.515,249
ClustalW2,BALIS-1,BB11018,0.594,910
ClustalW2,BALIS-1,BB11019,0.587,198
ClustalW2,BALIS-1,BB11021,0.252,18
ClustalW2,BALIS-1,BB11022,0.273,17
ClustalW2,BALIS-1,BB11025,0.114,13
ClustalW2,BALIS-1,BB11027,0.341,57
ClustalW2,BALIS-1,BB11029,0.503,16
ClustalW2,BALIS-1,BB11031,0.335,277
ClustalW2,BALIS-1,BB11033,0.494,61
ClustalW2,BALIS-1,BB11038,0.554,170
ClustalW2,BALIS-1,BB12005,0.956,21
ClustalW2,BALIS-1,BB12013,0.962,114
ClustalW2,BALIS-1,BB12014,1.0,17
ClustalW2,BALIS-1,BB12016,0.795,14
ClustalW2,BALIS-1,BB12021,0.966,13
ClustalW2,BALIS-1,BB12024,0.972,23
ClustalW2,BALIS-1,BB12026,0.897,34
ClustalW2,BALIS-1,BB12028,0.87,48
ClustalW2,BALIS-1,BB12037,0.997,77
ClustalW2,BALIS-1,BB12039,0.61,17
ClustalW2,BALIS-1,BB20001,0.947,12
ClustalW2,BALIS-1,BB20003,0.611,52
ClustalW2,BALIS-1,BB20006,0.805,45
ClustalW2,BALIS-1,BB20007,0.785,361
ClustalW2,BALIS-1,BB20008,0.765,70
ClustalW2,BALIS-1,BB20012,0.48,74
ClustalW2,BALIS-1,BB20014,0.428,32
ClustalW2,BALIS-1,BB20015,0.0467,13
ClustalW2,BALIS-1,BB20017,0.819,81
ClustalW2,BALIS-1,BB20021,0.22,153
ClustalW2,BALIS-1,BB20022,0.451,70
ClustalW2,BALIS-1,BB20023,0.704,96
ClustalW2,BALIS-1,BB20024,0.0,18
ClustalW2,BALIS-1,BB20027,0.821,38
ClustalW2,BALIS-1,BB20041,0.567,56
ClustalW2,BALIS-1,BB30001,0.873,236
ClustalW2,BALIS-1,BB30004,0.879,75
ClustalW2,BALIS-1,BB30006,0.797,83
ClustalW2,BALIS-1,BB30008,0.311,52
ClustalW2,BALIS-1,BB30011,0.837,90
ClustalW2,BALIS-1,BB30014,0.816,51
ClustalW2,BALIS-1,BB30015,0.663,38
ClustalW2,BALIS-1,BB30016,0.284,17
ClustalW2,BALIS-1,BB30017,0.686,50
ClustalW2,BALIS-1,BB30018,0.333,49
ClustalW2,BALIS-1,BB30019,0.227,72
ClustalW2,BALIS-1,BB30021,0.225,35
ClustalW2,BALIS-1,BB30022,0.723,21
ClustalW2,BALIS-1,BB30023,0.508,102
ClustalW2,BALIS-1,BB30025,0.492,21
ClustalW2,BALIS-1,BB30026,0.663,103
ClustalW2,BALIS-1,BB30027,0.348,27
ClustalW2,BALIS-1,BB30028,0.245,37
ClustalW2,BALIS-1,BB40008,0.904,74
ClustalW2,BALIS-1,BB40009,0.933,211
ClustalW2,BALIS-1,BB40015,1.0,18
ClustalW2,BALIS-1,BB40016,1.0,38
ClustalW2,BALIS-1,BB40018,0.838,19
ClustalW2,BALIS-1,BB40019,0.892,61
ClustalW2,BALIS-1,BB40022,0.93,31
ClustalW2,BALIS-1,BB40024,0.507,113
ClustalW2,BALIS-1,BB40025,0.867,52
ClustalW2,BALIS-1,BB40026,0.742,357
ClustalW2,BALIS-1,BB40027,0.642,142
ClustalW2,BALIS-1,BB40028,0.884,37
ClustalW2,BALIS-1,BB40029,0.732,62
ClustalW2,BALIS-1,BB40033,0.373,75
ClustalW2,BALIS-1,BB40036,0.984,103
ClustalW2,BALIS-1,BB40037,0.978,16
ClustalW2,BALIS-1,BB40038,0.828,16
ClustalW2,BALIS-1,BB40039,0.926,175
ClustalW2,BALIS-1,BB40041,0.711,99
ClustalW2,BALIS-1,BB40046,0.4,79
ClustalW2,BALIS-1,BB40049,0.963,46
ClustalW2,BALIS-1,BB50001,0.563,51
ClustalW2,BALIS-1,BB50004,0.995,79
ClustalW2,BALIS-1,BB50005,0.99,117
ClustalW2,BALIS-1,BB50007,0.767,124
ClustalW2,BALIS-1,BB50008,0.955,78
ClustalW2,BALIS-1,BB50011,0.478,30
ClustalW2,BALIS-1,BB50012,0.914,114
ClustalW2,BALIS-1,BB50014,0.922,220
