aligner,dataset,testcase,Q_score,time_elapsed_ms
MUSCLE,BALIS-1,BB11004,0.674,143
MUSCLE,BALIS-1,BB11005,0.554,760
MUSCLE,BALIS-1,BB11008,0.779,110
MUSCLE,BALIS-1,BB11009,0.758,63
MUSCLE,BALIS-1,BB11011,0.648,67
MUSCLE,BALIS-1,BB11014,0.885,257
MUSCLE,BALIS-1,BB11015,0.774,63
MUSCLE,BALIS-1,BB11016,0.68,410
MUSCLE,BALIS-1,BB11018,0.862,1319
MUSCLE,BALIS-1,BB11019,0.769,314
MUSCLE,BALIS-1,BB11021,0.769,28
MUSCLE,BALIS-1,BB11022,0.167,30
MUSCLE,BALIS-1,BB11025,0.167,20
MUSCLE,BALIS-1,BB11027,0.624,107
MUSCLE,BALIS-1,BB11029,0.526,23
MUSCLE,BALIS-1,BB11031,0.728,483
MUSCLE,BALIS-1,BB11033,0.618,127
MUSCLE,BALIS-1,BB11038,0.912,260
MUSCLE,BALIS-1,BB12005,0.976,35
MUSCLE,BALIS-1,BB12013,0.964,193
MUSCLE,BALIS-1,BB12014,0.984,21
MUSCLE,BALIS-1,BB12016,0.858,21
MUSCLE,BALIS-1,BB12021,0.919,18
MUSCLE,BALIS-1,BB12024,0.986,41
MUSCLE,BALIS-1,BB12026,0.884,51
MUSCLE,BALIS-1,BB12028,0.965,75
MUSCLE,BALIS-1,BB12037,0.965,128
MUSCLE,BALIS-1,BB12039,0.981,28
MUSCLE,BALIS-1,BB20001,0.8,18
MUSCLE,BALIS-1,BB20003,0.655,106
MUSCLE,BALIS-1,BB20006,0.811,64
MUSCLE,BALIS-1,BB20007,0.85,404
MUSCLE,BALIS-1,BB20008,0.811,161
MUSCLE,BALIS-1,BB20012,0.64,134
MUSCLE,BALIS-1,BB20014,0.662,67
MUSCLE,BALIS-1,BB20015,0.107,19
MUSCLE,BALIS-1,BB20017,0.817,153
MUSCLE,BALIS-1,BB20021,0.697,291
MUSCLE,BALIS-1,BB20022,0.803,117
MUSCLE,BALIS-1,BB20023,0.84,137
MUSCLE,BALIS-1,BB20024,0.0,27
MUSCLE,BALIS-1,BB20027,0.789,79
MUSCLE,BALIS-1,BB20041,0.762,121
MUSCLE,BALIS-1,BB30001,0.935,240
MUSCLE,BALIS-1,BB30004,0.844,139
MUSCLE,BALIS-1,BB30006,0.967,131
MUSCLE,BALIS-1,BB30008,0.523,120
MUSCLE,BALIS-1,BB30011,0.924,96
MUSCLE,BALIS-1,BB30014,0.794,46
MUSCLE,BALIS-1,BB30015,0.745,73
MUSCLE,BALIS-1,BB30016,0.167,29
MUSCLE,BALIS-1,BB30017,0.837,95
MUSCLE,BALIS-1,BB30018,0.781,111
MUSCLE,BALIS-1,BB30019,0.701,153
MUSCLE,BALIS-1,BB30021,0.306,65
MUSCLE,BALIS-1,BB30022,0.74,26
MUSCLE,BALIS-1,BB30023,0.823,149
MUSCLE,BALIS-1,BB30025,0.497,31
MUSCLE,BALIS-1,BB30026,0.947,179
MUSCLE,BALIS-1,BB30027,0.719,39
MUSCLE,BALIS-1,BB30028,0.472,90
MUSCLE,BALIS-1,BB40008,0.886,136
MUSCLE,BALIS-1,BB40009,0.949,223
MUSCLE,BALIS-1,BB40015,0.992,25
MUSCLE,BALIS-1,BB40016,0.906,54
MUSCLE,BALIS-1,BB40018,0.917,27
MUSCLE,BALIS-1,BB40019,0.947,106
MUSCLE,BALIS-1,BB40022,1.0,42
MUSCLE,BALIS-1,BB40024,0.589,216
MUSCLE,BALIS-1,BB40025,0.939,67
MUSCLE,BALIS-1,BB40026,0.829,499
MUSCLE,BALIS-1,BB40027,0.842,201
MUSCLE,BALIS-1,BB40028,0.869,49
MUSCLE,BALIS-1,BB40029,0.823,101
MUSCLE,BALIS-1,BB40033,0.833,123
MUSCLE,BALIS-1,BB40036,0.979,122
MUSCLE,BALIS-1,BB40037,1.0,31
MUSCLE,BALIS-1,BB40038,0.869,24
MUSCLE,BALIS-1,BB40039,0.96,221
MUSCLE,BALIS-1,BB40041,0.91,333
MUSCLE,BALIS-1,BB40046,0.422,175
MUSCLE,BALIS-1,BB40049,0.995,81
MUSCLE,BALIS-1,BB50001,0.712,89
MUSCLE,BALIS-1,BB50004,0.995,109
MUSCLE,BALIS-1,BB50005,0.991,187
MUSCLE,BALIS-1,BB50007,0.87,167
MUSCLE,BALIS-1,BB50008,0.969,80
MUSCLE,BALIS-1,BB50011,0.631,59
MUSCLE,BALIS-1,BB50012,0.942,197
MUSCLE,BALIS-1,BB50014,0.971,258
