testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.118,0.118,288
1a02N_1a3qA,pass,0.0538,0.0538,172
1a04A_1dz3A,pass,0.0,0.0,128
1a28A_3erdA,pass,0.0655,0.0655,132
1a36A_1a41,pass,0.0,0.0,521
1a49A_1dxeA,pass,0.0,0.0,371
1a49A_1pkyC,pass,0.0,0.0,295
1a7w_1tafB,pass,0.0,0.0,71
1a8o_1qrjB,pass,0.0,0.0,70
1adeA_1dj3A,pass,0.0,0.0,224
1aerA_1aerB,pass,0.00529,0.00529,63
1aoeA_1d1gA,pass,0.132,0.132,111
1aoxA_1atzA,pass,0.0,0.0,112
1aquA_1fmlB,pass,0.073,0.073,173
1aqzA_9rnt,pass,0.0875,0.0875,70
1atg_1mrp,pass,0.0248,0.0248,201
1avmA_3mdsA,pass,0.0168,0.0168,109
1ax4A_2dkb,pass,0.0,0.0,330
1axkA_2nlrA,pass,0.0,0.0,263
1b16A_1bsvA,pass,0.0235,0.0235,182
1b6rA_1gsoA,pass,0.0628,0.0628,220
1b8gA_1iaxA,pass,0.0728,0.0728,221
1b9yC_1a0rP,pass,0.012,0.012,137
1bak_1faoA,pass,0.0253,0.0253,80
1bdb_1e7wA,pass,0.0,0.0,130
1be3B_1ezvB,pass,0.0678,0.0678,247
1bi0_1smtA,pass,0.0,0.0,125
1bkrA_1aoa,pass,0.0326,0.0326,143
1bmdA_1hyhA,pass,0.115,0.115,165
1bmlC_1qqrC,pass,0.0,0.0,108
1brmA_1qrrA,pass,0.0,0.0,211
1btkA_1pls,pass,0.0,0.0,112
1btkA_1rrpB,pass,0.0,0.0,105
1bxkA_1db3A,pass,0.0241,0.0241,181
1c0nA_1ecxA,pass,0.0394,0.0394,219
1c4rA_1qu0A,pass,0.0196,0.0196,119
1c8oA_1ovaA,pass,0.0664,0.0664,210
1c9kB_2dhqA,pass,0.0238,0.0238,104
1cf7A_1cf7B,pass,0.0667,0.0667,69
1cg5B_3sdhA,pass,0.0301,0.0301,76
1chmA_1ihoA,pass,0.0,0.0,226
1ckeA_1dekA,pass,0.0,0.0,110
1ckv_1g10A,pass,0.0,0.0,91
1cvsC_1fltX,pass,0.0,0.0,184
1d1gA_1vdrA,pass,0.0526,0.0526,102
1d6jA_1nksA,pass,0.0,0.0,102
1d7yA_1nhp,pass,0.0844,0.0844,262
1db1A_3erdA,pass,0.00478,0.00478,120
1di6A_1ihcA,pass,0.0135,0.0135,102
1dosA_1zen,pass,0.0,0.0,172
1dqnA_1tc1A,pass,0.0458,0.0458,125
1dquA_1pymA,pass,0.0,0.0,381
1dssG_1he2A,pass,0.0,0.0,198
1dynA_1mai,pass,0.0,0.0,93
1e69B_1f2tA,pass,0.0103,0.0103,145
1e6bA_1aw9,pass,0.0314,0.0314,112
1e6wA_1ybvA,pass,0.0526,0.0526,144
1eaf_3cla,pass,0.0347,0.0347,131
1eagA_1smrA,pass,0.117,0.117,175
1enp_1ej0A,pass,0.0,0.0,168
1esc_1eny,pass,0.0,0.0,161
1eyrA_1ga8A,pass,0.0,0.0,155
1f94A_3ebx,pass,0.0566,0.0566,61
1fds_1he2A,pass,0.0226,0.0226,150
1fo5A_1hyuA,pass,0.0,0.0,301
1gca_2dri,pass,0.0556,0.0556,165
1ggxA_1h4uA,pass,0.216,0.216,140
1ghj_1iyu,pass,0.08,0.08,71
1gtxA_2dkb,pass,0.0,0.0,254
1ifa_1huw,pass,0.0,0.0,106
1jdc_1amy,pass,0.0,0.0,245
1jk0A_1xikA,pass,0.00364,0.00364,224
1kuh_1hfc,pass,0.0,0.0,91
1lay_1at3A,pass,0.138,0.138,129
1msc_1qbeA,pass,0.141,0.141,65
1pcl_1czfA,pass,0.0,0.0,185
1pii_1a53,pass,0.0,0.0,420
1pjr_1qvaA,pass,0.0,0.0,540
1pmaA_1pmaP,pass,0.0794,0.0794,123
1prs_1g6eA,pass,0.0,0.0,94
1pty_1ytw,pass,0.14,0.14,193
1pty_2shpA,pass,0.0,0.0,388
1qhaA_1g99A,pass,0.0,0.0,758
1qipA_1cjxA,pass,0.0,0.0,221
1qqp3_2mev1,pass,0.0519,0.0519,135
1rfs_1rie,pass,0.0,0.0,91
1t1dA_1buoA,pass,0.0143,0.0143,92
1taxA_1xas,pass,0.121,0.121,186
1trb_1f6mF,pass,0.327,0.327,169
1tul_1dun,pass,0.0,0.0,82
1wer_1nf1A,pass,0.0468,0.0468,213
2fnbA_1bpv,pass,0.0149,0.0149,77
2hts_2irfG,pass,0.0169,0.0169,79
2nsyA_1sur,pass,0.0,0.0,137
2ohxA_3hudA,pass,0.257,0.257,192
2tnfA_1d4vB,pass,0.172,0.172,100
3erdA_1dkfA,pass,0.0597,0.0597,136
3erdA_1ereB,pass,0.202,0.202,131
3nul_1fil,pass,0.0492,0.0492,87
4aahA_1flgB,pass,0.0,0.0,365
