testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.0852,0.0852,2947
1a3qA_1gof,pass,0.0,0.0,12199
1a6dA_1derA,pass,0.126,0.126,3498
1adjA_1atiA,pass,0.0,0.0,3224
1ah1_1cid,pass,0.0,0.0,1110
1ajsA_1aam,pass,0.0234,0.0234,2708
1am2_1at0,pass,0.0224,0.0224,2311
1am7A_3lzt,pass,0.0,0.0,627
1amj_1zymA,pass,0.0,0.0,14196
1an9A_1c0pA,pass,0.219,0.219,2620
1ash_2fal,pass,0.199,0.199,611
1atg_1ixh,pass,0.0233,0.0233,1980
1au7A_2hddA,pass,0.0,0.0,641
1auoA_1i6wA,pass,0.0124,0.0124,1094
1b8gA_1bjwA,pass,0.0414,0.0414,2498
1b93A_1g8mA,pass,0.0,0.0,8167
1bak_1dynA,pass,0.0294,0.0294,636
1bbzA_1ckaA,pass,0.453,0.453,466
1befA_2hrvA,pass,0.0297,0.0297,690
1bfg_1afcH,pass,0.072,0.072,740
1bkrA_1bhdA,pass,0.0,0.0,643
1bm9A_1cf7B,pass,0.0,0.0,563
1bn6A_1cv2A,pass,0.0252,0.0252,1912
1bpv_2fnbA,pass,0.0597,0.0597,640
1bqg_1ec7B,pass,0.0252,0.0252,2623
1bqg_1qumA,pass,0.0,0.0,3794
1br9_1jc7A,pass,0.0,0.0,645
1brmA_1gcuA,pass,0.0,0.0,2217
1bs0A_1elqA,pass,0.0,0.0,2279
1btn_1dynA,pass,0.0,0.0,652
1btn_1qqgA,pass,0.0345,0.0345,2086
1burA_1rusB,pass,0.0327,0.0327,926
1bw9A_1qorA,pass,0.0,0.0,2427
1bx4A_1rkd,pass,0.00704,0.00704,1992
1bylA_1ecsA,pass,0.158,0.158,691
1c0aA_1lylA,pass,0.0136,0.0136,4994
1cid_1kb5B,pass,0.0,0.0,1122
1d2sA_1dykA,pass,0.0327,0.0327,5916
1db1A_2lbd,pass,0.058,0.058,1183
1dkiA_1cv8,pass,0.0,0.0,838
1dlyA_2gdm,pass,0.0886,0.0886,663
1dpuA_1hstA,pass,0.1,0.1,493
1dtyA_2gsaA,pass,0.14,0.14,2998
1dvjA_1ho1A,pass,0.00518,0.00518,1379
1e32A_1e69B,pass,0.0,0.0,4812
1e54A_3prn,pass,0.0502,0.0502,2397
1eemA_1hqoA,pass,0.02,0.02,1441
1enp_1eny,pass,0.0453,0.0453,1792
1etb1_1gkeC,pass,0.197,0.197,645
1fchA_1hxiA,pass,0.0,0.0,2490
1ffkE_1e7kB,pass,0.205,0.205,876
1fgxA_1ga8A,pass,0.0,0.0,1923
1flp_1hlb,pass,0.275,0.275,629
1fm5A_1htn,pass,0.028,0.028,1932
1fpzA_1vhrA,pass,0.014,0.014,1077
1fr9A_1h7eA,pass,0.00588,0.00588,1211
1fr9A_1i52A,pass,0.116,0.116,1196
1g5rA_1g6oA,pass,0.0319,0.0319,2488
1gen_1hxn,pass,0.0559,0.0559,1380
1han_1cjxA,pass,0.0345,0.0345,2978
1han_1eirA,pass,0.345,0.345,1586
1hmcB_1jli,pass,0.164,0.164,498
1hn9A_1bi5A,pass,0.0366,0.0366,1639
1htn_1rdo1,pass,0.037,0.037,837
1hxmA_1tvdA,pass,0.0273,0.0273,1496
1hyhA_1ldnF,pass,0.122,0.122,1583
1iq3A_2cblA,pass,0.0,0.0,1422
1lcl_1sacA,pass,0.0,0.0,977
1lxa_2xat,pass,0.0,0.0,1480
1mpgA_1mun,pass,0.0,0.0,1750
1mugA_3eugA,pass,0.0,0.0,1119
1nksA_1nstA,pass,0.0,0.0,3675
1nksA_1qhiA,pass,0.018,0.018,3222
1nox_1bkjA,pass,0.0,0.0,1268
1nsgB_256bA,pass,0.148,0.148,501
1oaa_1ybvA,pass,0.21,0.21,1439
1p35A_1i4eA,pass,0.228,0.228,618
1preA_1bcpB,pass,0.0,0.0,899
1qa9A_1wit,pass,0.0,0.0,586
1qa9A_2ncm,pass,0.162,0.162,604
1qfoA_1wit,pass,0.0,0.0,610
1qghA_1bcfA,pass,0.0,0.0,756
1qhiA_1qhsA,pass,0.0,0.0,3299
1qpzA_2dri,pass,0.0115,0.0115,1932
1qq4A_1svpA,pass,0.0316,0.0316,804
1qqp3_1mec3,pass,0.00508,0.00508,1505
1rcf_5nul,pass,0.0299,0.0299,839
1rcy_1qhqA,pass,0.0825,0.0825,825
1rsy_1a25B,pass,0.041,0.041,783
1rthA_2rn2,pass,0.0,0.0,3127
1sbp_1wod,pass,0.0,0.0,1777
1taq_5ktqA,pass,0.0116,0.0116,17241
1tc1A_1qk3A,pass,0.013,0.013,1167
1tfb_1c9bA,pass,0.303,0.303,1003
1xbd_1ayoA,pass,0.22,0.22,690
1yghA_1bob,pass,0.0,0.0,2691
2afpA_1ixxB,pass,0.0556,0.0556,773
2mbr_1qltA,pass,0.0,0.0,6890
2pkaA_1a7s,pass,0.025,0.025,1351
3stdA_2std,pass,0.348,0.348,525
