testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a04A_1ibjA,pass,0.0,0.0,822
1a04A_3chy,pass,0.0,0.0,460
1a6m_1cg5B,pass,0.194,0.194,141
1a6m_1h97A,pass,0.0709,0.0709,140
1a75A_1b8cB,pass,0.03,0.03,157
1a7s_1agjA,pass,0.0286,0.0286,499
1a7s_2cgaB,pass,0.0105,0.0105,479
1agdA_1bqsA,pass,0.0,0.0,389
1agqA_1vpfA,pass,0.0,0.0,114
1ah1_1tlk,pass,0.0128,0.0128,187
1aly_2tnfA,pass,0.0368,0.0368,266
1amk_1hg3A,pass,0.0388,0.0388,457
1an8_1f77B,pass,0.0205,0.0205,425
1aoeA_3dfr,pass,0.0387,0.0387,376
1aq0A_1eokA,pass,0.0,0.0,605
1aqb_1epaA,pass,0.0,0.0,289
1ash_1ithA,pass,0.37,0.37,150
1auoA_1brt,pass,0.0238,0.0238,585
1awe_1btkA,pass,0.0,0.0,306
1awe_1pls,pass,0.0,0.0,220
1ax4A_2tplA,pass,0.0789,0.0789,990
1b16A_1he2A,pass,0.0284,0.0284,487
1b3jA_1agdA,pass,0.175,0.175,113
1bd3A_1nulA,pass,0.0,0.0,431
1bh9B_1jfiB,pass,0.0,0.0,196
1bhtA_5hpgA,pass,0.0,0.0,411
1bjwA_1d2fA,pass,0.0436,0.0436,663
1bk5A_1ialA,pass,0.0,0.0,907
1bpwA_1euhA,pass,0.0343,0.0343,880
1btkA_1btn,pass,0.0,0.0,326
1btl_1ei5A,pass,0.0149,0.0149,924
1btl_1omeB,pass,0.0734,0.0734,360
1bykA_1gca,pass,0.0514,0.0514,598
1bylA_1qipA,pass,0.0,0.0,320
1cdkA_1csn,pass,0.0119,0.0119,664
1cewI_1eqkA,pass,0.0,0.0,150
1ckuA_1eytA,pass,0.195,0.195,102
1cnzA_1iso,pass,0.0762,0.0762,906
1cs6A_1tit,pass,0.0,0.0,710
1cs8A_1cv8,pass,0.0,0.0,464
1d2tA_1eoiA,pass,0.34,0.34,405
1d3bB_1i8fA,pass,0.0308,0.0308,133
1dklA_1qfxA,pass,0.0,0.0,913
1dt4A_1vih,pass,0.136,0.136,114
1ef1A_1a5r,pass,0.0,0.0,604
1efuB_1tfe,pass,0.0,0.0,626
1efvA_1efpA,pass,0.0686,0.0686,617
1exzA_1hmcB,pass,0.0,0.0,103
1faoA_1mai,pass,0.012,0.012,224
1fepA_1by5A,pass,0.0,0.0,1222
1floA_1ae9A,pass,0.0169,0.0169,688
1fltX_1tit,pass,0.0769,0.0769,133
1fqvD_1vcbB,pass,0.0,0.0,263
1g61A_1g62A,pass,0.406,0.406,421
1ga3A_1rcb,pass,0.0,0.0,115
1gca_1tlfA,pass,0.00772,0.00772,608
1gci_1sud,pass,0.0568,0.0568,618
1h8cA_1c1yB,pass,0.103,0.103,116
1hssA_1bea,pass,0.0568,0.0568,203
1htn_1ixxB,pass,0.0103,0.0103,372
1hwyA_1b26F,pass,0.016,0.016,966
1i4wA_2dpmA,pass,0.0,0.0,619
1i69A_1pda,pass,0.0,0.0,640
1irp_2irtA,pass,0.0169,0.0169,236
1itbB_2ncm,pass,0.0,0.0,655
1ixxB_1eggA,pass,0.118,0.118,191
1kb5B_1nkr,pass,0.0,0.0,368
1kb5B_2ncm,pass,0.0353,0.0353,161
1larA_2shpA,pass,0.0405,0.0405,1412
1lea_1qbjA,pass,0.18,0.18,113
1lki_1exzA,pass,0.0159,0.0159,112
1lpbA_1pcn,pass,0.173,0.173,94
1lxa_1qreA,pass,0.00662,0.00662,585
1pne_3nul,pass,0.0738,0.0738,198
1qnxA_1cfe,pass,0.0171,0.0171,393
1qoxN_1e70M,pass,0.0,0.0,890
1rhoA_1ft3A,pass,0.0,0.0,198
1rtm1_1qo3C,pass,0.0,0.0,264
1sek_1psi,pass,0.137,0.137,656
1sfe_1eh7A,pass,0.113,0.113,273
1shkA_1ng1,pass,0.0423,0.0423,634
1smvA_2tbvA,pass,0.0617,0.0617,763
1swuA_2aviA,pass,0.0693,0.0693,102
1tcrA_1qsfD,pass,0.0378,0.0378,290
1tit_2ncm,pass,0.194,0.194,151
1tlk_1wwcA,pass,0.0,0.0,156
1tvdA_1ivlB,pass,0.00971,0.00971,128
1vid_2admA,pass,0.0,0.0,1007
1vsgA_2vsgA,pass,0.0221,0.0221,657
2cbp_1f56C,pass,0.0667,0.0667,140
2omf_2por,pass,0.0625,0.0625,607
2por_3prn,pass,0.0433,0.0433,519
2thiA_1eu8A,pass,0.0548,0.0548,695
2u2fA_1u2fA,pass,0.178,0.178,134
3chy_1b00B,pass,0.0168,0.0168,174
3eugA_1lauE,pass,0.0,0.0,407
3ullA_1prtF,pass,0.0179,0.0179,113
4mbp_1gggB,pass,0.0,0.0,771
4pgaA_1ho3A,pass,0.123,0.123,618
5nul_1j9gA,pass,0.0511,0.0511,221
