testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.0972,0.0972,3180
1a02N_1a3qA,pass,0.0923,0.0923,1710
1a04A_1dz3A,pass,0.0,0.0,1321
1a28A_3erdA,pass,0.0437,0.0437,1285
1a36A_1a41,pass,0.0,0.0,8890
1a49A_1dxeA,pass,0.0,0.0,7210
1a49A_1pkyC,pass,0.0,0.0,4145
1a7w_1tafB,pass,0.0,0.0,478
1a8o_1qrjB,pass,0.0,0.0,504
1adeA_1dj3A,pass,0.0,0.0,2630
1aerA_1aerB,pass,0.323,0.323,501
1aoeA_1d1gA,pass,0.132,0.132,1000
1aoxA_1atzA,pass,0.0,0.0,1017
1aquA_1fmlB,pass,0.0912,0.0912,2221
1aqzA_9rnt,pass,0.0875,0.0875,515
1atg_1mrp,pass,0.0248,0.0248,2367
1avmA_3mdsA,pass,0.0168,0.0168,980
1ax4A_2dkb,pass,0.0,0.0,5151
1axkA_2nlrA,pass,0.0,0.0,5300
1b16A_1bsvA,pass,0.0353,0.0353,2411
1b6rA_1gsoA,pass,0.0538,0.0538,2521
1b8gA_1iaxA,pass,0.034,0.034,2409
1b9yC_1a0rP,pass,0.012,0.012,1771
1bak_1faoA,pass,0.101,0.101,651
1bdb_1e7wA,pass,0.0,0.0,1403
1be3B_1ezvB,pass,0.059,0.059,3097
1bi0_1smtA,pass,0.0,0.0,1475
1bkrA_1aoa,pass,0.0326,0.0326,1979
1bmdA_1hyhA,pass,0.129,0.129,1702
1bmlC_1qqrC,pass,0.0,0.0,936
1brmA_1qrrA,pass,0.0,0.0,2561
1btkA_1pls,pass,0.0,0.0,1119
1btkA_1rrpB,pass,0.0,0.0,981
1bxkA_1db3A,pass,0.0447,0.0447,2057
1c0nA_1ecxA,pass,0.0394,0.0394,2235
1c4rA_1qu0A,pass,0.0196,0.0196,1031
1c8oA_1ovaA,pass,0.0524,0.0524,2768
1c9kB_2dhqA,pass,0.0119,0.0119,911
1cf7A_1cf7B,pass,0.0667,0.0667,600
1cg5B_3sdhA,pass,0.0752,0.0752,628
1chmA_1ihoA,pass,0.0,0.0,3574
1ckeA_1dekA,pass,0.0,0.0,1001
1ckv_1g10A,pass,0.0,0.0,806
1cvsC_1fltX,pass,0.0,0.0,2930
1d1gA_1vdrA,pass,0.23,0.23,880
1d6jA_1nksA,pass,0.0,0.0,925
1d7yA_1nhp,pass,0.0976,0.0976,3791
1db1A_3erdA,pass,0.00478,0.00478,1143
1di6A_1ihcA,pass,0.0135,0.0135,926
1dosA_1zen,pass,0.0,0.0,1939
1dqnA_1tc1A,pass,0.0261,0.0261,1311
1dquA_1pymA,pass,0.0,0.0,7106
1dssG_1he2A,pass,0.0,0.0,2807
1dynA_1mai,pass,0.0,0.0,781
1e69B_1f2tA,pass,0.0103,0.0103,2062
1e6bA_1aw9,pass,0.0314,0.0314,1023
1e6wA_1ybvA,pass,0.0526,0.0526,1418
1eaf_3cla,pass,0.0347,0.0347,1315
1eagA_1smrA,pass,0.117,0.117,1858
1enp_1ej0A,pass,0.0,0.0,2356
1esc_1eny,pass,0.0,0.0,2352
1eyrA_1ga8A,pass,0.0,0.0,1951
1f94A_3ebx,pass,0.0566,0.0566,319
1fds_1he2A,pass,0.0226,0.0226,1638
1fo5A_1hyuA,pass,0.0,0.0,4413
1gca_2dri,pass,0.0556,0.0556,1821
1ggxA_1h4uA,pass,0.211,0.211,1822
1ghj_1iyu,pass,0.0667,0.0667,535
1gtxA_2dkb,pass,0.0,0.0,3433
1ifa_1huw,pass,0.0,0.0,927
1jdc_1amy,pass,0.0165,0.0165,3158
1jk0A_1xikA,pass,0.00364,0.00364,3167
1kuh_1hfc,pass,0.0,0.0,672
1lay_1at3A,pass,0.0789,0.0789,1397
1msc_1qbeA,pass,0.141,0.141,320
1pcl_1czfA,pass,0.00662,0.00662,2208
1pii_1a53,pass,0.0,0.0,7970
1pjr_1qvaA,pass,0.0,0.0,8550
1pmaA_1pmaP,pass,0.0794,0.0794,1139
1prs_1g6eA,pass,0.0,0.0,810
1pty_1ytw,pass,0.0279,0.0279,1695
1pty_2shpA,pass,0.0,0.0,7981
1qhaA_1g99A,pass,0.0,0.0,24100
1qipA_1cjxA,pass,0.0,0.0,3550
1qqp3_2mev1,pass,0.0667,0.0667,1641
1rfs_1rie,pass,0.0,0.0,717
1t1dA_1buoA,pass,0.0,0.0,680
1taxA_1xas,pass,0.121,0.121,1730
1trb_1f6mF,pass,0.327,0.327,1678
1tul_1dun,pass,0.0,0.0,591
1wer_1nf1A,pass,0.0468,0.0468,3131
2fnbA_1bpv,pass,0.0149,0.0149,621
2hts_2irfG,pass,0.169,0.169,633
2nsyA_1sur,pass,0.0,0.0,1443
2ohxA_3hudA,pass,0.297,0.297,2091
2tnfA_1d4vB,pass,0.0938,0.0938,837
3erdA_1dkfA,pass,0.0448,0.0448,1239
3erdA_1ereB,pass,0.192,0.192,1161
3nul_1fil,pass,0.0574,0.0574,736
4aahA_1flgB,pass,0.0,0.0,4496
