testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.173,0.173,3932
1a3qA_1gof,pass,0.0282,0.0282,6023
1a6dA_1derA,pass,0.121,0.121,4278
1adjA_1atiA,pass,0.0,0.0,4216
1ah1_1cid,pass,0.0,0.0,2408
1ajsA_1aam,pass,0.0987,0.0987,3932
1am2_1at0,pass,0.149,0.149,3084
1am7A_3lzt,pass,0.214,0.214,1675
1amj_1zymA,pass,0.0,0.0,7212
1an9A_1c0pA,pass,0.0784,0.0784,3752
1ash_2fal,pass,0.348,0.348,1670
1atg_1ixh,pass,0.0349,0.0349,3266
1au7A_2hddA,pass,0.037,0.037,1662
1auoA_1i6wA,pass,0.0994,0.0994,2665
1b8gA_1bjwA,pass,0.0663,0.0663,3754
1b93A_1g8mA,pass,0.0,0.0,5781
1bak_1dynA,pass,0.0588,0.0588,2359
1bbzA_1ckaA,pass,0.226,0.226,1364
1befA_2hrvA,pass,0.0297,0.0297,1974
1bfg_1afcH,pass,0.024,0.024,1891
1bkrA_1bhdA,pass,0.0,0.0,1748
1bm9A_1cf7B,pass,0.0,0.0,1633
1bn6A_1cv2A,pass,0.0791,0.0791,3511
1bpv_2fnbA,pass,0.0,0.0,1696
1bqg_1ec7B,pass,0.0479,0.0479,3956
1bqg_1qumA,pass,0.0,0.0,4055
1br9_1jc7A,pass,0.0761,0.0761,1795
1brmA_1gcuA,pass,0.0,0.0,3501
1bs0A_1elqA,pass,0.0137,0.0137,3650
1btn_1dynA,pass,0.0,0.0,1818
1btn_1qqgA,pass,0.0,0.0,3042
1burA_1rusB,pass,0.0353,0.0353,2725
1bw9A_1qorA,pass,0.0,0.0,3653
1bx4A_1rkd,pass,0.113,0.113,3376
1bylA_1ecsA,pass,0.228,0.228,1874
1c0aA_1lylA,pass,0.0271,0.0271,5014
1cid_1kb5B,pass,0.0,0.0,2330
1d2sA_1dykA,pass,0.0196,0.0196,4683
1db1A_2lbd,pass,0.0491,0.0491,2681
1dkiA_1cv8,pass,0.0,0.0,2350
1dlyA_2gdm,pass,0.0506,0.0506,1924
1dpuA_1hstA,pass,0.133,0.133,1410
1dtyA_2gsaA,pass,0.0338,0.0338,3996
1dvjA_1ho1A,pass,0.0311,0.0311,2760
1e32A_1e69B,pass,0.0,0.0,4314
1e54A_3prn,pass,0.0251,0.0251,3576
1eemA_1hqoA,pass,0.015,0.015,2984
1enp_1eny,pass,0.0741,0.0741,3192
1etb1_1gkeC,pass,0.265,0.265,1755
1fchA_1hxiA,pass,0.0106,0.0106,3404
1ffkE_1e7kB,pass,0.00855,0.00855,2208
1fgxA_1ga8A,pass,0.0,0.0,3194
1flp_1hlb,pass,0.123,0.123,1618
1fm5A_1htn,pass,0.00935,0.00935,3075
1fpzA_1vhrA,pass,0.021,0.021,2713
1fr9A_1h7eA,pass,0.0176,0.0176,2872
1fr9A_1i52A,pass,0.121,0.121,2823
1g5rA_1g6oA,pass,0.0213,0.0213,3246
1gen_1hxn,pass,0.0,0.0,2780
1han_1cjxA,pass,0.0287,0.0287,3677
1han_1eirA,pass,0.226,0.226,3224
1hmcB_1jli,pass,0.104,0.104,1588
1hn9A_1bi5A,pass,0.0586,0.0586,3367
1htn_1rdo1,pass,0.12,0.12,2130
1hxmA_1tvdA,pass,0.0,0.0,2755
1hyhA_1ldnF,pass,0.14,0.14,2910
1iq3A_2cblA,pass,0.0,0.0,2692
1lcl_1sacA,pass,0.0,0.0,2457
1lxa_2xat,pass,0.0,0.0,3048
1mpgA_1mun,pass,0.0,0.0,2986
1mugA_3eugA,pass,0.013,0.013,2634
1nksA_1nstA,pass,0.0,0.0,3723
1nksA_1qhiA,pass,0.00901,0.00901,3755
1nox_1bkjA,pass,0.00606,0.00606,2790
1nsgB_256bA,pass,0.0164,0.0164,1328
1oaa_1ybvA,pass,0.126,0.126,2740
1p35A_1i4eA,pass,0.388,0.388,1956
1preA_1bcpB,pass,0.0,0.0,2684
1qa9A_1wit,pass,0.0,0.0,1526
1qa9A_2ncm,pass,0.176,0.176,1800
1qfoA_1wit,pass,0.0385,0.0385,1760
1qghA_1bcfA,pass,0.0,0.0,2109
1qhiA_1qhsA,pass,0.0,0.0,3925
1qpzA_2dri,pass,0.0,0.0,3600
1qq4A_1svpA,pass,0.0842,0.0842,2335
1qqp3_1mec3,pass,0.0964,0.0964,3042
1rcf_5nul,pass,0.0448,0.0448,2290
1rcy_1qhqA,pass,0.124,0.124,2453
1rsy_1a25B,pass,0.0492,0.0492,2232
1rthA_2rn2,pass,0.0,0.0,4137
1sbp_1wod,pass,0.0,0.0,3613
1taq_5ktqA,pass,0.00578,0.00578,8111
1tc1A_1qk3A,pass,0.0325,0.0325,2638
1tfb_1c9bA,pass,0.135,0.135,2449
1xbd_1ayoA,pass,0.119,0.119,2037
1yghA_1bob,pass,0.0,0.0,3469
2afpA_1ixxB,pass,0.0417,0.0417,2038
2mbr_1qltA,pass,0.0,0.0,5087
2pkaA_1a7s,pass,0.0125,0.0125,2680
3stdA_2std,pass,0.429,0.429,1504
