testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0cA_1ubpC,pass,0.0,0.0,160
1a4iA_1ee9A,pass,0.289,0.289,73
1a53_1dvjA,pass,0.0,0.0,66
1a62_1mjc,pass,0.0182,0.0182,69
1a6o_1buhA,pass,0.0169,0.0169,54
1a7w_1bh9B,pass,0.0606,0.0606,67
1a8rA_1fb1D,pass,0.0216,0.0216,69
1agdA_1iakA,pass,0.0,0.0,53
1agjA_1cqqA,pass,0.0,0.0,67
1amp_1cg2A,pass,0.0826,0.0826,67
1aoa_1bkrA,pass,0.0,0.0,61
1aqb_1h91A,fail,0,0,0
1ax8_1rcb,pass,0.0244,0.0244,53
1b16A_1e6wA,pass,0.0,0.0,67
1b3aA_1hfgA,pass,0.0517,0.0517,59
1b4kA_1qmlA,pass,0.174,0.174,68
1b6g_1cqwA,pass,0.0254,0.0254,66
1b7gO_1ofgA,pass,0.0513,0.0513,61
1b8oA_1cb0A,pass,0.00437,0.00437,88
1bcfA_2fha,pass,0.265,0.265,55
1bdo_1iyu,pass,0.0147,0.0147,53
1bebA_1bj7,fail,0,0,0
1bfd_1d4oA,pass,0.0,0.0,67
1bj4A_1bjwA,pass,0.0,0.0,67
1bmfG_1mabG,pass,0.222,0.222,52
1bs9_1ei9A,pass,0.0833,0.0833,52
1bsvA_1bxkA,pass,0.0735,0.0735,67
1bxkA_1he2A,pass,0.017,0.017,51
1bxkA_1xel,pass,0.0567,0.0567,62
1c24A_1chmA,pass,0.0437,0.0437,55
1c3wA_1brd,pass,0.0526,0.0526,52
1c3wA_1jgjA,pass,0.0758,0.0758,67
1cjwA_1i21A,pass,0.0,0.0,51
1cmbA_1mjoB,pass,0.277,0.277,48
1cqkA_1hxmD,pass,0.0105,0.0105,52
1cviA_1rpt,pass,0.076,0.076,67
1cwpA_1f15B,pass,0.05,0.05,49
1cxlA_7taa,fail,0,0,0
1cydA_1e6wA,pass,0.0714,0.0714,65
1cydA_1e7wA,pass,0.137,0.137,67
1cydA_1fds,pass,0.0625,0.0625,49
1d6aB_1dm0A,pass,0.0152,0.0152,60
1d6jA_1nstA,pass,0.0,0.0,67
1dapA_1dssG,pass,0.0,0.0,50
1derA_1a6dA,pass,0.0,0.0,76
1dqwA_1dvjA,pass,0.0196,0.0196,58
1eerA_1f6fA,pass,0.0099,0.0099,49
1ei9A_1cvl,pass,0.0317,0.0317,62
1eokA_1d2kA,pass,0.0,0.0,67
1ep2B_1fnc,pass,0.0186,0.0186,63
1epaA_1bj7,pass,0.0794,0.0794,67
1eut_3sil,pass,0.00313,0.00313,67
1ewxA_1gp1A,pass,0.0532,0.0532,57
1extA_1d4vA,pass,0.15,0.15,66
1f97A_1qfoA,pass,0.0,0.0,66
1fgkA_1ia8A,pass,0.0,0.0,83
1fhoA_1qqgA,pass,0.0,0.0,69
1flp_1ithA,pass,0.449,0.449,67
1gky_1qhsA,pass,0.16,0.16,66
1gtxA_2gsaA,pass,0.0792,0.0792,51
1h8uA_1rtm1,fail,0,0,0
1hg3A_1nsj,pass,0.0,0.0,63
1hjp_1bvsA,pass,0.0124,0.0124,67
1hxmD_1tvdA,pass,0.0,0.0,68
1hyhA_1hygB,fail,0,0,0
1i1jA_1ckaA,pass,0.0185,0.0185,49
1ijqA_1qlgA,fail,0,0,0
1imbA_1jp4A,pass,0.00459,0.00459,65
1iyu_1dczA,pass,0.0,0.0,51
1iyu_1ghj,pass,0.105,0.105,53
1jn5B_1opy,pass,0.0364,0.0364,67
1lvk_1br2F,pass,0.0276,0.0276,67
1maz_2bidA,pass,0.0,0.0,67
1mtyB_1mhyB,pass,0.0446,0.0446,68
1ocrC_1qleC,pass,0.0675,0.0675,51
1ovaA_1sek,pass,0.0362,0.0362,67
1plq_2polA,pass,0.0588,0.0588,68
1pot_1lst,pass,0.0,0.0,62
1qa9A_1tcrA,pass,0.0,0.0,57
1qo2A_1thfD,pass,0.109,0.109,65
1qqp2_1pov1,pass,0.0,0.0,80
1rcb_3inkC,pass,0.149,0.149,44
1rzl_1fk3A,pass,0.132,0.132,66
1sek_1dvmD,pass,0.0997,0.0997,67
1svy_1svq,pass,0.0814,0.0814,49
1tcrA_1ah1,pass,0.0,0.0,52
1tgxA_1cdtA,pass,0.123,0.123,66
1u9aA_1c4zD,pass,0.00709,0.00709,67
1ulo_1cx1A,pass,0.0,0.0,67
1wit_2ncm,pass,0.188,0.188,48
1ygs_1devA,pass,0.0611,0.0611,60
2bbkH_1qfmA,pass,0.0,0.0,67
2bce_1acl,pass,0.0396,0.0396,59
2cblA_1psrA,pass,0.0,0.0,48
2ilk_1vlk,pass,0.0144,0.0144,58
2scuA_1drw,pass,0.0804,0.0804,58
2scuA_1eudA,pass,0.0246,0.0246,51
3chbD_1prtF,pass,0.0,0.0,51
3crd_3ygsP,pass,0.0952,0.0952,67
3sdhA_1sctF,pass,0.16,0.16,51
