testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.0243,0.0243,7579
1a02N_1a3qA,pass,0.00769,0.00769,5370
1a04A_1dz3A,pass,0,0,3019
1a28A_3erdA,pass,0.0873,0.0873,3716
1a36A_1a41,pass,0,0,18159
1a49A_1dxeA,pass,0.0269,0.0269,14093
1a49A_1pkyC,pass,0.0125,0.0125,13385
1a7w_1tafB,pass,0,0,543
1a8o_1qrjB,pass,0.0147,0.0147,526
1adeA_1dj3A,pass,0.0251,0.0251,8981
1aerA_1aerB,pass,0.0212,0.0212,533
1aoeA_1d1gA,pass,0.0526,0.0526,2614
1aoxA_1atzA,pass,0.0391,0.0391,2744
1aquA_1fmlB,pass,0.062,0.062,6372
1aqzA_9rnt,pass,0.0125,0.0125,609
1atg_1mrp,pass,0,0,6443
1avmA_3mdsA,pass,0,0,2290
1ax4A_2dkb,pass,0,0,15351
1axkA_2nlrA,pass,0.00613,0.00613,8766
1b16A_1bsvA,pass,0,0,6685
1b6rA_1gsoA,pass,0.0538,0.0538,9040
1b8gA_1iaxA,pass,0.0413,0.0413,8703
1b9yC_1a0rP,pass,0.00602,0.00602,3082
1bak_1faoA,pass,0.0127,0.0127,970
1bdb_1e7wA,pass,0.00448,0.00448,3642
1be3B_1ezvB,pass,0.0118,0.0118,10305
1bi0_1smtA,pass,0,0,2973
1bkrA_1aoa,pass,0,0,3529
1bmdA_1hyhA,pass,0.021,0.021,5411
1bmlC_1qqrC,pass,0.0286,0.0286,1661
1brmA_1qrrA,pass,0.029,0.029,8615
1btkA_1pls,pass,0.0159,0.0159,2047
1btkA_1rrpB,pass,0,0,2125
1bxkA_1db3A,pass,0.0275,0.0275,7080
1c0nA_1ecxA,pass,0.0479,0.0479,7947
1c4rA_1qu0A,pass,0,0,2842
1c8oA_1ovaA,pass,0.0175,0.0175,8531
1c9kB_2dhqA,pass,0,0,2204
1cf7A_1cf7B,pass,0.0833,0.0833,871
1cg5B_3sdhA,pass,0.0827,0.0827,768
1chmA_1ihoA,pass,0,0,9610
1ckeA_1dekA,pass,0.049,0.049,2579
1ckv_1g10A,pass,0.0333,0.0333,1378
1cvsC_1fltX,pass,0.0127,0.0127,4741
1d1gA_1vdrA,pass,0.0855,0.0855,1976
1d6jA_1nksA,pass,0,0,2437
1d7yA_1nhp,pass,0,0,11142
1db1A_3erdA,pass,0.0239,0.0239,3173
1di6A_1ihcA,pass,0.0135,0.0135,2217
1dosA_1zen,pass,0,0,6058
1dqnA_1tc1A,pass,0.0588,0.0588,3411
1dquA_1pymA,pass,0,0,14954
1dssG_1he2A,pass,0,0,7557
1dynA_1mai,pass,0,0,1541
1e69B_1f2tA,pass,0,0,4230
1e6bA_1aw9,pass,0.0189,0.0189,2449
1e6wA_1ybvA,pass,0.0702,0.0702,3955
1eaf_3cla,pass,0.0231,0.0231,3387
1eagA_1smrA,pass,0.0401,0.0401,5858
1enp_1ej0A,pass,0,0,5345
1esc_1eny,pass,0,0,5889
1eyrA_1ga8A,pass,0,0,5266
1f94A_3ebx,pass,0.0755,0.0755,454
1fds_1he2A,pass,0,0,4473
1fo5A_1hyuA,pass,0,0,10822
1gca_2dri,pass,0.0852,0.0852,5375
1ggxA_1h4uA,pass,0.0151,0.0151,3820
1ghj_1iyu,pass,0.04,0.04,613
1gtxA_2dkb,pass,0.0278,0.0278,11066
1ifa_1huw,pass,0,0,2243
1jdc_1amy,pass,0.0132,0.0132,10458
1jk0A_1xikA,pass,0,0,9675
1kuh_1hfc,pass,0.0099,0.0099,958
1lay_1at3A,pass,0,0,3907
1msc_1qbeA,pass,0.0808,0.0808,518
1pcl_1czfA,pass,0,0,7593
1pii_1a53,pass,0,0,16797
1pjr_1qvaA,pass,0,0,20189
1pmaA_1pmaP,pass,0.00529,0.00529,3116
1prs_1g6eA,pass,0,0,1511
1pty_1ytw,pass,0.014,0.014,4966
1pty_2shpA,pass,0,0,14974
1qhaA_1g99A,pass,0,0,42361
1qipA_1cjxA,pass,0,0,7823
1qqp3_2mev1,pass,0,0,4323
1rfs_1rie,pass,0,0,1349
1t1dA_1buoA,pass,0,0,1142
1taxA_1xas,pass,0.0184,0.0184,5638
1trb_1f6mF,pass,0.0182,0.0182,5435
1tul_1dun,pass,0,0,724
1wer_1nf1A,pass,0.0255,0.0255,9247
2fnbA_1bpv,pass,0,0,924
2hts_2irfG,pass,0.0169,0.0169,1078
2nsyA_1sur,pass,0,0,4465
2ohxA_3hudA,pass,0.0588,0.0588,7362
2tnfA_1d4vB,pass,0.0391,0.0391,1847
3erdA_1dkfA,pass,0.0299,0.0299,3898
3erdA_1ereB,pass,0.0622,0.0622,3278
3nul_1fil,pass,0.107,0.107,1236
4aahA_1flgB,pass,0.00593,0.00593,19061
