testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0cA_1ubpC,pass,0.0,0.0,68
1a4iA_1ee9A,pass,0.0296,0.0296,54
1a53_1dvjA,pass,0.0219,0.0219,65
1a62_1mjc,pass,0.0,0.0,69
1a6o_1buhA,pass,0.0675,0.0675,66
1a7w_1bh9B,pass,0.0152,0.0152,54
1a8rA_1fb1D,pass,0.027,0.027,49
1agdA_1iakA,pass,0.0,0.0,54
1agjA_1cqqA,pass,0.0,0.0,49
1amp_1cg2A,pass,0.0331,0.0331,52
1aoa_1bkrA,pass,0.0,0.0,50
1aqb_1h91A,fail,0,0,0
1ax8_1rcb,pass,0.0,0.0,62
1b16A_1e6wA,pass,0.0098,0.0098,65
1b3aA_1hfgA,pass,0.328,0.328,50
1b4kA_1qmlA,pass,0.0,0.0,52
1b6g_1cqwA,pass,0.029,0.029,68
1b7gO_1ofgA,pass,0.0,0.0,50
1b8oA_1cb0A,pass,0.0131,0.0131,50
1bcfA_2fha,pass,0.116,0.116,67
1bdo_1iyu,pass,0.0,0.0,51
1bebA_1bj7,fail,0,0,0
1bfd_1d4oA,pass,0.0174,0.0174,52
1bj4A_1bjwA,pass,0.0,0.0,67
1bmfG_1mabG,pass,0.306,0.306,51
1bs9_1ei9A,pass,0.0104,0.0104,66
1bsvA_1bxkA,pass,0.0404,0.0404,50
1bxkA_1he2A,pass,0.0,0.0,50
1bxkA_1xel,pass,0.0167,0.0167,50
1c24A_1chmA,pass,0.00485,0.00485,67
1c3wA_1brd,pass,0.0658,0.0658,67
1c3wA_1jgjA,pass,0.114,0.114,67
1cjwA_1i21A,pass,0.0673,0.0673,50
1cmbA_1mjoB,pass,0.426,0.426,51
1cqkA_1hxmD,pass,0.0,0.0,55
1cviA_1rpt,pass,0.0819,0.0819,50
1cwpA_1f15B,pass,0.1,0.1,51
1cxlA_7taa,fail,0,0,0
1cydA_1e6wA,pass,0.0759,0.0759,66
1cydA_1e7wA,pass,0.0558,0.0558,51
1cydA_1fds,pass,0.058,0.058,50
1d6aB_1dm0A,pass,0.0404,0.0404,51
1d6jA_1nstA,pass,0.0,0.0,68
1dapA_1dssG,pass,0.0,0.0,67
1derA_1a6dA,pass,0.0972,0.0972,67
1dqwA_1dvjA,pass,0.0392,0.0392,55
1eerA_1f6fA,pass,0.0396,0.0396,50
1ei9A_1cvl,pass,0.0,0.0,52
1eokA_1d2kA,pass,0.0219,0.0219,67
1ep2B_1fnc,pass,0.0093,0.0093,66
1epaA_1bj7,pass,0.0,0.0,51
1eut_3sil,pass,0.00937,0.00937,51
1ewxA_1gp1A,pass,0.0532,0.0532,50
1extA_1d4vA,pass,0.05,0.05,67
1f97A_1qfoA,pass,0.0,0.0,50
1fgkA_1ia8A,pass,0.0,0.0,49
1fhoA_1qqgA,pass,0.0,0.0,51
1flp_1ithA,pass,0.191,0.191,67
1gky_1qhsA,pass,0.0084,0.0084,50
1gtxA_2gsaA,pass,0.00792,0.00792,51
1h8uA_1rtm1,fail,0,0,0
1hg3A_1nsj,pass,0.0809,0.0809,51
1hjp_1bvsA,pass,0.13,0.13,67
1hxmD_1tvdA,pass,0.0,0.0,55
1hyhA_1hygB,fail,0,0,0
1i1jA_1ckaA,pass,0.0,0.0,50
1ijqA_1qlgA,fail,0,0,0
1imbA_1jp4A,pass,0.101,0.101,62
1iyu_1dczA,pass,0.0,0.0,55
1iyu_1ghj,pass,0.0395,0.0395,50
1jn5B_1opy,pass,0.0182,0.0182,56
1lvk_1br2F,pass,0.0,0.0,67
1maz_2bidA,pass,0.0,0.0,55
1mtyB_1mhyB,pass,0.226,0.226,52
1ocrC_1qleC,pass,0.198,0.198,51
1ovaA_1sek,pass,0.117,0.117,66
1plq_2polA,pass,0.113,0.113,51
1pot_1lst,pass,0.0147,0.0147,51
1qa9A_1tcrA,pass,0.0238,0.0238,51
1qo2A_1thfD,pass,0.0588,0.0588,67
1qqp2_1pov1,pass,0.0,0.0,51
1rcb_3inkC,pass,0.119,0.119,66
1rzl_1fk3A,pass,0.132,0.132,51
1sek_1dvmD,pass,0.0285,0.0285,52
1svy_1svq,pass,0.105,0.105,67
1tcrA_1ah1,pass,0.0,0.0,50
1tgxA_1cdtA,pass,0.228,0.228,51
1u9aA_1c4zD,pass,0.0,0.0,50
1ulo_1cx1A,pass,0.0,0.0,50
1wit_2ncm,pass,0.138,0.138,69
1ygs_1devA,pass,0.0889,0.0889,54
2bbkH_1qfmA,pass,0.0,0.0,66
2bce_1acl,pass,0.0308,0.0308,67
2cblA_1psrA,pass,0.0323,0.0323,51
2ilk_1vlk,pass,0.252,0.252,51
2scuA_1drw,pass,0.0268,0.0268,67
2scuA_1eudA,pass,0.0176,0.0176,68
3chbD_1prtF,pass,0.0,0.0,55
3crd_3ygsP,pass,0.19,0.19,51
3sdhA_1sctF,pass,0.153,0.153,55
