testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.173,0.173,40040
1a3qA_1gof,pass,0.0,0.0,85816
1a6dA_1derA,pass,0.121,0.121,46621
1adjA_1atiA,pass,0.0,0.0,46633
1ah1_1cid,pass,0.0,0.0,30916
1ajsA_1aam,pass,0.0987,0.0987,42281
1am2_1at0,pass,0.0597,0.0597,44429
1am7A_3lzt,pass,0.0,0.0,15873
1amj_1zymA,pass,0.0,0.0,102463
1an9A_1c0pA,pass,0.0439,0.0439,40925
1ash_2fal,pass,0.121,0.121,12502
1atg_1ixh,pass,0.0233,0.0233,36994
1au7A_2hddA,pass,0.0185,0.0185,19369
1auoA_1i6wA,pass,0.0186,0.0186,31324
1b8gA_1bjwA,pass,0.0663,0.0663,41256
1b93A_1g8mA,pass,0.0,0.0,89574
1bak_1dynA,pass,0.0,0.0,18133
1bbzA_1ckaA,pass,0.226,0.226,15957
1befA_2hrvA,pass,0.0099,0.0099,16555
1bfg_1afcH,pass,0.024,0.024,19333
1bkrA_1bhdA,pass,0.248,0.248,16663
1bm9A_1cf7B,pass,0.0161,0.0161,15213
1bn6A_1cv2A,pass,0.0827,0.0827,36626
1bpv_2fnbA,pass,0.0299,0.0299,19532
1bqg_1ec7B,pass,0.0277,0.0277,43147
1bqg_1qumA,pass,0.0,0.0,50567
1br9_1jc7A,pass,0.0217,0.0217,16561
1brmA_1gcuA,pass,0.0,0.0,40074
1bs0A_1elqA,pass,0.0,0.0,39309
1btn_1dynA,pass,0.0,0.0,20346
1btn_1qqgA,pass,0.0,0.0,40363
1burA_1rusB,pass,0.0252,0.0252,20954
1bw9A_1qorA,pass,0.0215,0.0215,40303
1bx4A_1rkd,pass,0.0,0.0,37576
1bylA_1ecsA,pass,0.0877,0.0877,19949
1c0aA_1lylA,pass,0.00813,0.00813,57334
1cid_1kb5B,pass,0.0,0.0,30645
1d2sA_1dykA,pass,0.0131,0.0131,68441
1db1A_2lbd,pass,0.0491,0.0491,27249
1dkiA_1cv8,pass,0.0,0.0,22034
1dlyA_2gdm,pass,0.0506,0.0506,20907
1dpuA_1hstA,pass,0.133,0.133,14803
1dtyA_2gsaA,pass,0.00519,0.00519,42223
1dvjA_1ho1A,pass,0.0207,0.0207,30368
1e32A_1e69B,pass,0.0,0.0,57295
1e54A_3prn,pass,0.0251,0.0251,44977
1eemA_1hqoA,pass,0.035,0.035,32779
1enp_1eny,pass,0.07,0.07,33093
1etb1_1gkeC,pass,0.265,0.265,15737
1fchA_1hxiA,pass,0.0106,0.0106,46981
1ffkE_1e7kB,pass,0.094,0.094,25692
1fgxA_1ga8A,pass,0.0,0.0,40274
1flp_1hlb,pass,0.159,0.159,13188
1fm5A_1htn,pass,0.0,0.0,35814
1fpzA_1vhrA,pass,0.0,0.0,30819
1fr9A_1h7eA,pass,0.00588,0.00588,31641
1fr9A_1i52A,pass,0.0405,0.0405,29716
1g5rA_1g6oA,pass,0.0213,0.0213,40725
1gen_1hxn,pass,0.0,0.0,32122
1han_1cjxA,pass,0.0287,0.0287,46104
1han_1eirA,pass,0.226,0.226,40711
1hmcB_1jli,pass,0.134,0.134,10253
1hn9A_1bi5A,pass,0.022,0.022,32227
1htn_1rdo1,pass,0.12,0.12,29762
1hxmA_1tvdA,pass,0.0182,0.0182,35886
1hyhA_1ldnF,pass,0.0385,0.0385,31912
1iq3A_2cblA,pass,0.0,0.0,33265
1lcl_1sacA,pass,0.0,0.0,30495
1lxa_2xat,pass,0.0,0.0,32994
1mpgA_1mun,pass,0.0,0.0,35185
1mugA_3eugA,pass,0.0,0.0,32254
1nksA_1nstA,pass,0.0,0.0,48149
1nksA_1qhiA,pass,0.018,0.018,48103
1nox_1bkjA,pass,0.0,0.0,30125
1nsgB_256bA,pass,0.328,0.328,9691
1oaa_1ybvA,pass,0.134,0.134,31458
1p35A_1i4eA,pass,0.669,0.669,13241
1preA_1bcpB,pass,0.0,0.0,26491
1qa9A_1wit,pass,0.0,0.0,18442
1qa9A_2ncm,pass,0.162,0.162,18966
1qfoA_1wit,pass,0.0385,0.0385,16301
1qghA_1bcfA,pass,0.0,0.0,20638
1qhiA_1qhsA,pass,0.0,0.0,45130
1qpzA_2dri,pass,0.0115,0.0115,35970
1qq4A_1svpA,pass,0.0211,0.0211,22667
1qqp3_1mec3,pass,0.223,0.223,34866
1rcf_5nul,pass,0.0149,0.0149,24325
1rcy_1qhqA,pass,0.124,0.124,30546
1rsy_1a25B,pass,0.0082,0.0082,23205
1rthA_2rn2,pass,0.0,0.0,50778
1sbp_1wod,pass,0.0,0.0,37582
1taq_5ktqA,pass,0.00578,0.00578,103183
1tc1A_1qk3A,pass,0.039,0.039,31267
1tfb_1c9bA,pass,0.0,0.0,26787
1xbd_1ayoA,pass,0.136,0.136,20868
1yghA_1bob,pass,0.0,0.0,41734
2afpA_1ixxB,pass,0.0417,0.0417,19417
2mbr_1qltA,pass,0.0,0.0,65908
2pkaA_1a7s,pass,0.0125,0.0125,39754
3stdA_2std,pass,0.199,0.199,8887
