testcase,alignment_performed,q_score,tc_score,ms_elapsed
12asA_1atiA,pass,0,0,275829
16pk_1qpg,pass,0.155,0.155,246533
1a0fA_1hqoA,pass,0.016,0.016,181918
1a0fA_1pd21,pass,0.0426,0.0426,173215
1a2vA_1ksiB,pass,0.0587,0.0587,424531
1a3k_1c1lA,pass,0.088,0.088,124999
1a44_1qouB,pass,0.0604,0.0604,135334
1a4iA_1b0aA,pass,0.0769,0.0769,193881
1a9nA_1dceA,pass,0,0,342517
1aba_1qfnA,pass,0.0411,0.0411,59547
1apyA_1ayyC,pass,0.156,0.156,130381
1arb_2hrvA,pass,0.011,0.011,152604
1avaC_1wba,pass,0.186,0.186,145653
1awe_1faoA,pass,0.157,0.157,117627
1b8xA_1pd21,pass,0.0208,0.0208,189113
1b9hA_1ibjA,pass,0.0184,0.0184,236533
1b9lA_1dhn,pass,0.123,0.123,95030
1bak_1btkA,pass,0.107,0.107,135511
1bak_1btn,pass,0.0769,0.0769,102905
1bcpD_1prtF,pass,0.271,0.271,27366
1bg2_1f9tA,pass,0.0453,0.0453,238327
1bqsA_1cvsC,pass,0,0,220956
1bsvA_1xel,pass,0.0276,0.0276,217510
1btn_1pls,pass,0.0465,0.0465,104136
1byuA_1ctqA,pass,0.0464,0.0464,159206
1bywA_3pyp,pass,0,0,77725
1cczA_1fltX,pass,0,0,129721
1ceqA_1hyhA,pass,0.0868,0.0868,204068
1cl2A_1qgnH,pass,0.12,0.12,274486
1cozA_1ihoA,pass,0.02,0.02,197366
1cp2A_2nipA,pass,0.198,0.198,197991
1ctj_1e29A,pass,0.0132,0.0132,97761
1cvsC_1ev2E,pass,0.262,0.262,155292
1cydA_1h5qL,pass,0.1,0.1,191179
1cydA_1he2A,pass,0.0111,0.0111,173538
1d2kA_1ctn,pass,0,0,369907
1d2kA_1e9lA,pass,0.0179,0.0179,274599
1d2sA_1sacA,pass,0.0084,0.0084,151548
1d2zA_1ngr,pass,0.0964,0.0964,83653
1db3A_1he2A,pass,0.0238,0.0238,240612
1dcfA_3chy,pass,0.119,0.119,101701
1dg9A_1d2aB,pass,0.258,0.258,134006
1dg9A_1jfvA,pass,0.12,0.12,130888
1dhpA_2tpsA,pass,0,0,182035
1dk4A_1inp,pass,0,0,284975
1dkuA_1qb7A,pass,0,0,197629
1dlyA_1dlwA,pass,0.322,0.322,103890
1do0A_1e32A,pass,0,0,263991
1do0A_1g8pA,pass,0.0612,0.0612,275133
1dptA_1ca7A,pass,0.228,0.228,95453
1drmA_3pyp,pass,0,0,80407
1dwnA_1qbeA,pass,0.396,0.396,35259
1dxy_2dldA,pass,0.0703,0.0703,228472
1dz1A_1ap0,pass,0.3,0.3,62517
1e3jA_1qr6A,pass,0,0,356388
1e5dA_5nul,pass,0.00741,0.00741,229498
1e6wA_1fjhB,pass,0.131,0.131,172874
1e70M_1qvbA,pass,0.133,0.133,293892
1eaiC_1ate,pass,0.308,0.308,52210
1ef1A_1gg3C,pass,0.133,0.133,233233
1euhA_1eyyA,pass,0.0856,0.0856,287785
1flp_2fal,pass,0.193,0.193,75658
1fqtA_1rie,pass,0.0116,0.0116,117460
1frb_1qrqA,pass,0.0225,0.0225,203159
1frpA_1dk4A,pass,0.0457,0.0457,231999
1g8jB_1rfs,pass,0.0633,0.0633,132201
1gky_1nksA,pass,0.265,0.265,133461
1h8cA_1ubi,pass,0.0938,0.0938,62117
1hg3A_2tpsA,pass,0.0278,0.0278,180826
1ho1A_1nsj,pass,0.0221,0.0221,171505
1hqoA_1ljrA,pass,0.0657,0.0657,183949
1iakA_1hdmA,pass,0.0765,0.0765,120387
1ibzA_1kcw,pass,0,0,493041
1ig0A_1ig3A,pass,0.0166,0.0166,233950
1ii5A_1lst,pass,0.18,0.18,157272
1jxpA_1svpA,pass,0,0,71553
1kjs_1c5a,pass,0.333,0.333,78442
1mh1_2cmd,pass,0,0,207778
1orc_4croE,pass,0.636,0.636,27880
1qk3A_1gca,pass,0,0,220615
1qk3A_1nulA,pass,0,0,169993
1qksA_1n50A,pass,0.103,0.103,374226
1qnoA_1eceA,pass,0.0507,0.0507,290934
1qo3C_1rtm1,pass,0.103,0.103,134863
1qpzA_1tlfA,pass,0.0478,0.0478,226279
1rcy_2cuaA,pass,0.12,0.12,85944
1rom_1jipA,pass,0.169,0.169,259997
1rpxA_2dorA,pass,0.0146,0.0146,223273
1shcA_1x11A,pass,0,0,171175
1skyB_1a5t,pass,0,0,320411
1smvA_1c8nC,pass,0.0108,0.0108,189656
1tfe_1efuB,pass,0,0,207657
1vdrA_3dfr,pass,0.137,0.137,157206
1yghA_1qsrA,pass,0.205,0.205,159258
1ytbA_1qnaB,pass,0.539,0.539,139823
2bopA_1ris,pass,0.259,0.259,88180
2cmd_1mldD,pass,0.399,0.399,211318
2if1_1d1rA,pass,0,0,98415
2lbd_2prgA,pass,0.11,0.11,214613
3pte_1skf,pass,0,0,255678
