testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.173,0.173,4806
1a3qA_1gof,pass,0.0,0.0,7682
1a6dA_1derA,pass,0.121,0.121,5011
1adjA_1atiA,pass,0.0,0.0,5048
1ah1_1cid,pass,0.0,0.0,2910
1ajsA_1aam,pass,0.0987,0.0987,4653
1am2_1at0,pass,0.0299,0.0299,3788
1am7A_3lzt,pass,0.0179,0.0179,1970
1amj_1zymA,pass,0.0,0.0,9112
1an9A_1c0pA,pass,0.0125,0.0125,4541
1ash_2fal,pass,0.213,0.213,1884
1atg_1ixh,pass,0.0349,0.0349,4361
1au7A_2hddA,pass,0.0185,0.0185,2190
1auoA_1i6wA,pass,0.0994,0.0994,3332
1b8gA_1bjwA,pass,0.0663,0.0663,4620
1b93A_1g8mA,pass,0.0,0.0,7471
1bak_1dynA,pass,0.0147,0.0147,1942
1bbzA_1ckaA,pass,0.226,0.226,1536
1befA_2hrvA,pass,0.0,0.0,2264
1bfg_1afcH,pass,0.024,0.024,2503
1bkrA_1bhdA,pass,0.257,0.257,1837
1bm9A_1cf7B,pass,0.0161,0.0161,1799
1bn6A_1cv2A,pass,0.0791,0.0791,3865
1bpv_2fnbA,pass,0.119,0.119,1977
1bqg_1ec7B,pass,0.0479,0.0479,4642
1bqg_1qumA,pass,0.0,0.0,5085
1br9_1jc7A,pass,0.0652,0.0652,2125
1brmA_1gcuA,pass,0.0,0.0,4458
1bs0A_1elqA,pass,0.0137,0.0137,4404
1btn_1dynA,pass,0.0,0.0,2228
1btn_1qqgA,pass,0.0,0.0,4023
1burA_1rusB,pass,0.0,0.0,2825
1bw9A_1qorA,pass,0.0,0.0,4588
1bx4A_1rkd,pass,0.0176,0.0176,4056
1bylA_1ecsA,pass,0.0614,0.0614,2166
1c0aA_1lylA,pass,0.0271,0.0271,6196
1cid_1kb5B,pass,0.0,0.0,2926
1d2sA_1dykA,pass,0.0261,0.0261,6182
1db1A_2lbd,pass,0.0491,0.0491,3237
1dkiA_1cv8,pass,0.0,0.0,2661
1dlyA_2gdm,pass,0.0506,0.0506,2265
1dpuA_1hstA,pass,0.133,0.133,1543
1dtyA_2gsaA,pass,0.0208,0.0208,4920
1dvjA_1ho1A,pass,0.0311,0.0311,3619
1e32A_1e69B,pass,0.0,0.0,5571
1e54A_3prn,pass,0.0251,0.0251,4547
1eemA_1hqoA,pass,0.015,0.015,3672
1enp_1eny,pass,0.07,0.07,3833
1etb1_1gkeC,pass,0.265,0.265,2076
1fchA_1hxiA,pass,0.0106,0.0106,4047
1ffkE_1e7kB,pass,0.0855,0.0855,2700
1fgxA_1ga8A,pass,0.0,0.0,3970
1flp_1hlb,pass,0.123,0.123,1825
1fm5A_1htn,pass,0.00935,0.00935,3664
1fpzA_1vhrA,pass,0.014,0.014,3060
1fr9A_1h7eA,pass,0.0118,0.0118,3301
1fr9A_1i52A,pass,0.121,0.121,3563
1g5rA_1g6oA,pass,0.0106,0.0106,4259
1gen_1hxn,pass,0.0,0.0,3425
1han_1cjxA,pass,0.0287,0.0287,4713
1han_1eirA,pass,0.226,0.226,3865
1hmcB_1jli,pass,0.104,0.104,1520
1hn9A_1bi5A,pass,0.0586,0.0586,3923
1htn_1rdo1,pass,0.12,0.12,2769
1hxmA_1tvdA,pass,0.0182,0.0182,3374
1hyhA_1ldnF,pass,0.14,0.14,3543
1iq3A_2cblA,pass,0.0,0.0,3355
1lcl_1sacA,pass,0.0,0.0,3035
1lxa_2xat,pass,0.0,0.0,3691
1mpgA_1mun,pass,0.0,0.0,4028
1mugA_3eugA,pass,0.0,0.0,3413
1nksA_1nstA,pass,0.0,0.0,4658
1nksA_1qhiA,pass,0.018,0.018,4450
1nox_1bkjA,pass,0.00606,0.00606,3554
1nsgB_256bA,pass,0.0164,0.0164,1537
1oaa_1ybvA,pass,0.126,0.126,3609
1p35A_1i4eA,pass,0.327,0.327,1907
1preA_1bcpB,pass,0.0,0.0,3083
1qa9A_1wit,pass,0.0,0.0,1900
1qa9A_2ncm,pass,0.162,0.162,2172
1qfoA_1wit,pass,0.0385,0.0385,2021
1qghA_1bcfA,pass,0.0,0.0,2451
1qhiA_1qhsA,pass,0.0128,0.0128,4439
1qpzA_2dri,pass,0.0,0.0,4087
1qq4A_1svpA,pass,0.0947,0.0947,2541
1qqp3_1mec3,pass,0.223,0.223,3619
1rcf_5nul,pass,0.0448,0.0448,2645
1rcy_1qhqA,pass,0.124,0.124,2682
1rsy_1a25B,pass,0.0,0.0,2558
1rthA_2rn2,pass,0.0,0.0,4702
1sbp_1wod,pass,0.0,0.0,3915
1taq_5ktqA,pass,0.00578,0.00578,9982
1tc1A_1qk3A,pass,0.0584,0.0584,3341
1tfb_1c9bA,pass,0.303,0.303,3039
1xbd_1ayoA,pass,0.119,0.119,2477
1yghA_1bob,pass,0.0,0.0,4087
2afpA_1ixxB,pass,0.0417,0.0417,2423
2mbr_1qltA,pass,0.0,0.0,6460
2pkaA_1a7s,pass,0.0125,0.0125,3630
3stdA_2std,pass,0.497,0.497,1533
