testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.0312,0.0312,0
1a02N_1a3qA,pass,0.0769,0.0769,0
1a04A_1dz3A,pass,0.00917,0.00917,2
1a28A_3erdA,pass,0.00437,0.00437,2
1a36A_1a41,pass,0.0,0.0,2
1a49A_1dxeA,pass,0.0,0.0,0
1a49A_1pkyC,pass,0.0,0.0,0
1a7w_1tafB,pass,0.0,0.0,13
1a8o_1qrjB,pass,0.0,0.0,0
1adeA_1dj3A,pass,0.0,0.0,0
1aerA_1aerB,pass,0.175,0.175,13
1aoeA_1d1gA,pass,0.0461,0.0461,7
1aoxA_1atzA,pass,0.101,0.101,0
1aquA_1fmlB,pass,0.0146,0.0146,0
1aqzA_9rnt,pass,0.1,0.1,13
1atg_1mrp,pass,0.00826,0.00826,17
1avmA_3mdsA,pass,0.0,0.0,0
1ax4A_2dkb,pass,0.0,0.0,0
1axkA_2nlrA,fail,0,0,0
1b16A_1bsvA,pass,0.0353,0.0353,0
1b6rA_1gsoA,pass,0.0404,0.0404,0
1b8gA_1iaxA,pass,0.301,0.301,0
1b9yC_1a0rP,pass,0.00602,0.00602,0
1bak_1faoA,pass,0.038,0.038,17
1bdb_1e7wA,pass,0.0269,0.0269,17
1be3B_1ezvB,pass,0.0295,0.0295,0
1bi0_1smtA,pass,0.0,0.0,0
1bkrA_1aoa,pass,0.0,0.0,0
1bmdA_1hyhA,pass,0.0524,0.0524,17
1bmlC_1qqrC,pass,0.0,0.0,6
1brmA_1qrrA,pass,0.0,0.0,0
1btkA_1pls,pass,0.0,0.0,0
1btkA_1rrpB,pass,0.0,0.0,19
1bxkA_1db3A,pass,0.055,0.055,1
1c0nA_1ecxA,pass,0.0451,0.0451,0
1c4rA_1qu0A,pass,0.0131,0.0131,17
1c8oA_1ovaA,pass,0.0734,0.0734,8
1c9kB_2dhqA,pass,0.0,0.0,0
1cf7A_1cf7B,pass,0.0333,0.0333,0
1cg5B_3sdhA,pass,0.0301,0.0301,17
1chmA_1ihoA,pass,0.0,0.0,0
1ckeA_1dekA,pass,0.0,0.0,0
1ckv_1g10A,pass,0.0333,0.0333,17
1cvsC_1fltX,pass,0.0,0.0,17
1d1gA_1vdrA,pass,0.191,0.191,18
1d6jA_1nksA,pass,0.0,0.0,0
1d7yA_1nhp,pass,0.029,0.029,16
1db1A_3erdA,pass,0.0,0.0,0
1di6A_1ihcA,pass,0.00676,0.00676,0
1dosA_1zen,pass,0.0288,0.0288,0
1dqnA_1tc1A,pass,0.0261,0.0261,0
1dquA_1pymA,pass,0.0127,0.0127,0
1dssG_1he2A,pass,0.0,0.0,17
1dynA_1mai,pass,0.0,0.0,0
1e69B_1f2tA,pass,0.0412,0.0412,0
1e6bA_1aw9,pass,0.0692,0.0692,1
1e6wA_1ybvA,pass,0.0789,0.0789,17
1eaf_3cla,pass,0.0116,0.0116,17
1eagA_1smrA,fail,0,0,0
1enp_1ej0A,pass,0.0,0.0,17
1esc_1eny,pass,0.0,0.0,0
1eyrA_1ga8A,pass,0.0,0.0,0
1f94A_3ebx,pass,0.396,0.396,0
1fds_1he2A,pass,0.0,0.0,0
1fo5A_1hyuA,pass,0.0,0.0,0
1gca_2dri,pass,0.0889,0.0889,2
1ggxA_1h4uA,fail,0,0,0
1ghj_1iyu,pass,0.0933,0.0933,16
1gtxA_2dkb,pass,0.0126,0.0126,0
1ifa_1huw,pass,0.0111,0.0111,0
1jdc_1amy,pass,0.0,0.0,0
1jk0A_1xikA,pass,0.0145,0.0145,0
1kuh_1hfc,pass,0.0297,0.0297,17
1lay_1at3A,pass,0.00658,0.00658,16
1msc_1qbeA,pass,0.0808,0.0808,0
1pcl_1czfA,pass,0.0,0.0,19
1pii_1a53,pass,0.0,0.0,18
1pjr_1qvaA,pass,0.0,0.0,0
1pmaA_1pmaP,pass,0.0899,0.0899,17
1prs_1g6eA,pass,0.0,0.0,0
1pty_1ytw,pass,0.0512,0.0512,0
1pty_2shpA,pass,0.0,0.0,0
1qhaA_1g99A,pass,0.0,0.0,17
1qipA_1cjxA,pass,0.0,0.0,17
1qqp3_2mev1,pass,0.0148,0.0148,0
1rfs_1rie,pass,0.0,0.0,0
1t1dA_1buoA,pass,0.0,0.0,16
1taxA_1xas,pass,0.121,0.121,0
1trb_1f6mF,pass,0.418,0.418,0
1tul_1dun,pass,0.013,0.013,13
1wer_1nf1A,pass,0.00426,0.00426,6
2fnbA_1bpv,pass,0.0,0.0,0
2hts_2irfG,pass,0.0678,0.0678,2
2nsyA_1sur,pass,0.0,0.0,17
2ohxA_3hudA,pass,0.123,0.123,17
2tnfA_1d4vB,pass,0.0469,0.0469,0
3erdA_1dkfA,pass,0.0846,0.0846,0
3erdA_1ereB,pass,0.0259,0.0259,17
3nul_1fil,pass,0.27,0.27,0
4aahA_1flgB,pass,0.0593,0.0593,17
