testcase,alignment_performed,q_score,tc_score,ms_elapsed
12asA_1atiA,pass,0.0,0.0,3515
16pk_1qpg,pass,0.221,0.221,3215
1a0fA_1hqoA,pass,0.00535,0.00535,2562
1a0fA_1pd21,pass,0.0372,0.0372,2150
1a2vA_1ksiB,pass,0.103,0.103,4750
1a3k_1c1lA,pass,0.048,0.048,1672
1a44_1qouB,pass,0.0,0.0,1920
1a4iA_1b0aA,pass,0.0,0.0,2340
1a9nA_1dceA,pass,0.0248,0.0248,3990
1aba_1qfnA,pass,0.151,0.151,1165
1apyA_1ayyC,pass,0.0296,0.0296,1945
1arb_2hrvA,pass,0.044,0.044,2220
1avaC_1wba,pass,0.0705,0.0705,1960
1awe_1faoA,pass,0.1,0.1,1729
1b8xA_1pd21,pass,0.0,0.0,2332
1b9hA_1ibjA,pass,0.0859,0.0859,2977
1b9lA_1dhn,pass,0.0965,0.0965,1589
1bak_1btkA,pass,0.0933,0.0933,1910
1bak_1btn,pass,0.0,0.0,1490
1bcpD_1prtF,pass,0.329,0.329,960
1bg2_1f9tA,pass,0.0302,0.0302,3105
1bqsA_1cvsC,pass,0.0,0.0,3004
1bsvA_1xel,pass,0.117,0.117,2541
1btn_1pls,pass,0.0581,0.0581,1535
1byuA_1ctqA,pass,0.0397,0.0397,2131
1bywA_3pyp,pass,0.0,0.0,1312
1cczA_1fltX,pass,0.0,0.0,1973
1ceqA_1hyhA,pass,0.181,0.181,2630
1cl2A_1qgnH,pass,0.0481,0.0481,3180
1cozA_1ihoA,pass,0.0,0.0,2605
1cp2A_2nipA,pass,0.0,0.0,2500
1ctj_1e29A,pass,0.0526,0.0526,1672
1cvsC_1ev2E,pass,0.131,0.131,2136
1cydA_1h5qL,pass,0.171,0.171,2367
1cydA_1he2A,pass,0.0111,0.0111,2327
1d2kA_1ctn,pass,0.0,0.0,4255
1d2kA_1e9lA,pass,0.0149,0.0149,3375
1d2sA_1sacA,pass,0.0,0.0,1921
1d2zA_1ngr,pass,0.181,0.181,1492
1db3A_1he2A,pass,0.0119,0.0119,3107
1dcfA_3chy,pass,0.161,0.161,1511
1dg9A_1d2aB,pass,0.159,0.159,1707
1dg9A_1jfvA,pass,0.144,0.144,1730
1dhpA_2tpsA,pass,0.0,0.0,2501
1dk4A_1inp,pass,0.00794,0.00794,3517
1dkuA_1qb7A,pass,0.0,0.0,2640
1dlyA_1dlwA,pass,0.191,0.191,1613
1do0A_1e32A,pass,0.0,0.0,3463
1do0A_1g8pA,pass,0.0,0.0,3620
1dptA_1ca7A,pass,0.0965,0.0965,1437
1drmA_3pyp,pass,0.0,0.0,1363
1dwnA_1qbeA,pass,0.0901,0.0901,1099
1dxy_2dldA,pass,0.147,0.147,2941
1dz1A_1ap0,pass,0.0,0.0,1170
1e3jA_1qr6A,pass,0.00926,0.00926,4361
1e5dA_5nul,pass,0.00741,0.00741,3034
1e6wA_1fjhB,pass,0.147,0.147,2280
1e70M_1qvbA,pass,0.0444,0.0444,3575
1eaiC_1ate,pass,0.288,0.288,939
1ef1A_1gg3C,pass,0.0481,0.0481,3110
1euhA_1eyyA,pass,0.135,0.135,3500
1flp_2fal,pass,0.143,0.143,1411
1fqtA_1rie,pass,0.0,0.0,1680
1frb_1qrqA,pass,0.00375,0.00375,2871
1frpA_1dk4A,pass,0.0457,0.0457,2969
1g8jB_1rfs,pass,0.101,0.101,1909
1gky_1nksA,pass,0.12,0.12,2090
1h8cA_1ubi,pass,0.188,0.188,1240
1hg3A_2tpsA,pass,0.0611,0.0611,2219
1ho1A_1nsj,pass,0.0166,0.0166,2471
1hqoA_1ljrA,pass,0.0859,0.0859,2460
1iakA_1hdmA,pass,0.0647,0.0647,1896
1ibzA_1kcw,pass,0.0,0.0,6033
1ig0A_1ig3A,pass,0.0539,0.0539,3101
1ii5A_1lst,pass,0.0569,0.0569,2107
1jxpA_1svpA,pass,0.0,0.0,1259
1kjs_1c5a,pass,0.0926,0.0926,1432
1mh1_2cmd,pass,0.0,0.0,3067
1orc_4croE,pass,0.473,0.473,837
1qk3A_1gca,pass,0.0,0.0,2869
1qk3A_1nulA,pass,0.0,0.0,2405
1qksA_1n50A,pass,0.0616,0.0616,4282
1qnoA_1eceA,pass,0.0415,0.0415,3351
1qo3C_1rtm1,pass,0.0841,0.0841,1884
1qpzA_1tlfA,pass,0.00735,0.00735,2875
1rcy_2cuaA,pass,0.0,0.0,1477
1rom_1jipA,pass,0.059,0.059,3284
1rpxA_2dorA,pass,0.0365,0.0365,2710
1shcA_1x11A,pass,0.0,0.0,2078
1skyB_1a5t,pass,0.0,0.0,3785
1smvA_1c8nC,pass,0.043,0.043,2654
1tfe_1efuB,pass,0.0165,0.0165,2752
1vdrA_3dfr,pass,0.17,0.17,2170
1yghA_1qsrA,pass,0.0962,0.0962,2152
1ytbA_1qnaB,pass,0.247,0.247,1954
2bopA_1ris,pass,0.241,0.241,1365
2cmd_1mldD,pass,0.12,0.12,2771
2if1_1d1rA,pass,0.0,0.0,1603
2lbd_2prgA,pass,0.0965,0.0965,2646
3pte_1skf,pass,0.0,0.0,3331
