testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.173,0.173,30565
1a3qA_1gof,pass,0.0,0.0,54738
1a6dA_1derA,pass,0.178,0.178,35468
1adjA_1atiA,pass,0.0,0.0,34198
1ah1_1cid,pass,0.0,0.0,18034
1ajsA_1aam,pass,0.0312,0.0312,30950
1am2_1at0,pass,0.0522,0.0522,25184
1am7A_3lzt,pass,0.0,0.0,10710
1amj_1zymA,pass,0.0,0.0,66183
1an9A_1c0pA,pass,0.0219,0.0219,30387
1ash_2fal,pass,0.00709,0.00709,9503
1atg_1ixh,pass,0.105,0.105,26499
1au7A_2hddA,pass,0.0,0.0,11432
1auoA_1i6wA,pass,0.0248,0.0248,19035
1b8gA_1bjwA,pass,0.0994,0.0994,30419
1b93A_1g8mA,pass,0.0,0.0,51009
1bak_1dynA,pass,0.0,0.0,11228
1bbzA_1ckaA,pass,0.321,0.321,6678
1befA_2hrvA,pass,0.0693,0.0693,11713
1bfg_1afcH,pass,0.048,0.048,12859
1bkrA_1bhdA,pass,0.343,0.343,10394
1bm9A_1cf7B,pass,0.0,0.0,9504
1bn6A_1cv2A,pass,0.0935,0.0935,24899
1bpv_2fnbA,pass,0.149,0.149,10759
1bqg_1ec7B,pass,0.0302,0.0302,31281
1bqg_1qumA,pass,0.0,0.0,32866
1br9_1jc7A,pass,0.0761,0.0761,11383
1brmA_1gcuA,pass,0.0,0.0,26845
1bs0A_1elqA,pass,0.032,0.032,29714
1btn_1dynA,pass,0.0,0.0,11070
1btn_1qqgA,pass,0.0,0.0,25292
1burA_1rusB,pass,0.0856,0.0856,18989
1bw9A_1qorA,pass,0.0,0.0,29399
1bx4A_1rkd,pass,0.0704,0.0704,26656
1bylA_1ecsA,pass,0.00877,0.00877,11699
1c0aA_1lylA,pass,0.00813,0.00813,42116
1cid_1kb5B,pass,0.0,0.0,16950
1d2sA_1dykA,pass,0.0261,0.0261,44140
1db1A_2lbd,pass,0.00446,0.00446,18564
1dkiA_1cv8,pass,0.0,0.0,16669
1dlyA_2gdm,pass,0.139,0.139,11441
1dpuA_1hstA,pass,0.1,0.1,7103
1dtyA_2gsaA,pass,0.0104,0.0104,32582
1dvjA_1ho1A,pass,0.0363,0.0363,20730
1e32A_1e69B,pass,0.0,0.0,36282
1e54A_3prn,pass,0.0209,0.0209,29823
1eemA_1hqoA,pass,0.04,0.04,22377
1enp_1eny,pass,0.0782,0.0782,23849
1etb1_1gkeC,pass,0.265,0.265,10286
1fchA_1hxiA,pass,0.0,0.0,28491
1ffkE_1e7kB,pass,0.0342,0.0342,15022
1fgxA_1ga8A,pass,0.0,0.0,27563
1flp_1hlb,pass,0.029,0.029,9425
1fm5A_1htn,pass,0.0654,0.0654,22031
1fpzA_1vhrA,pass,0.0,0.0,20540
1fr9A_1h7eA,pass,0.0647,0.0647,20715
1fr9A_1i52A,pass,0.0405,0.0405,19773
1g5rA_1g6oA,pass,0.0,0.0,27470
1gen_1hxn,pass,0.0,0.0,20040
1han_1cjxA,pass,0.0287,0.0287,30527
1han_1eirA,pass,0.254,0.254,23098
1hmcB_1jli,pass,0.0149,0.0149,7557
1hn9A_1bi5A,pass,0.0183,0.0183,24445
1htn_1rdo1,pass,0.0,0.0,15320
1hxmA_1tvdA,pass,0.0,0.0,21043
1hyhA_1ldnF,pass,0.136,0.136,22845
1iq3A_2cblA,pass,0.0,0.0,20354
1lcl_1sacA,pass,0.0,0.0,17530
1lxa_2xat,pass,0.0,0.0,21137
1mpgA_1mun,pass,0.0,0.0,24602
1mugA_3eugA,pass,0.0909,0.0909,19913
1nksA_1nstA,pass,0.0,0.0,32348
1nksA_1qhiA,pass,0.027,0.027,30513
1nox_1bkjA,pass,0.0121,0.0121,20463
1nsgB_256bA,pass,0.0984,0.0984,7041
1oaa_1ybvA,pass,0.109,0.109,21246
1p35A_1i4eA,pass,0.677,0.677,12183
1preA_1bcpB,pass,0.0,0.0,21514
1qa9A_1wit,pass,0.0,0.0,9942
1qa9A_2ncm,pass,0.0541,0.0541,11123
1qfoA_1wit,pass,0.0385,0.0385,10274
1qghA_1bcfA,pass,0.0,0.0,12829
1qhiA_1qhsA,pass,0.0,0.0,32044
1qpzA_2dri,pass,0.0346,0.0346,26297
1qq4A_1svpA,pass,0.0632,0.0632,15130
1qqp3_1mec3,pass,0.0406,0.0406,22250
1rcf_5nul,pass,0.0,0.0,14939
1rcy_1qhqA,pass,0.0825,0.0825,14973
1rsy_1a25B,pass,0.0246,0.0246,16029
1rthA_2rn2,pass,0.0,0.0,31321
1sbp_1wod,pass,0.0,0.0,24216
1taq_5ktqA,pass,0.0,0.0,70807
1tc1A_1qk3A,pass,0.0844,0.0844,20356
1tfb_1c9bA,pass,0.135,0.135,19108
1xbd_1ayoA,pass,0.102,0.102,12800
1yghA_1bob,pass,0.0,0.0,27947
2afpA_1ixxB,pass,0.153,0.153,12697
2mbr_1qltA,pass,0.024,0.024,44503
2pkaA_1a7s,pass,0.0,0.0,19810
3stdA_2std,pass,0.41,0.41,7875
