testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.0549,0.0549,717
1a3qA_1gof,pass,0.0141,0.0141,1716
1a6dA_1derA,pass,0.0,0.0,882
1adjA_1atiA,pass,0.0,0.0,845
1ah1_1cid,pass,0.0,0.0,355
1ajsA_1aam,pass,0.0753,0.0753,787
1am2_1at0,pass,0.0149,0.0149,594
1am7A_3lzt,pass,0.0893,0.0893,157
1amj_1zymA,pass,0.0,0.0,2068
1an9A_1c0pA,pass,0.0125,0.0125,697
1ash_2fal,pass,0.284,0.284,155
1atg_1ixh,pass,0.0,0.0,625
1au7A_2hddA,pass,0.0,0.0,164
1auoA_1i6wA,pass,0.0435,0.0435,434
1b8gA_1bjwA,pass,0.0414,0.0414,693
1b93A_1g8mA,pass,0.0,0.0,1312
1bak_1dynA,pass,0.0882,0.0882,156
1bbzA_1ckaA,pass,0.491,0.491,98
1befA_2hrvA,pass,0.0,0.0,179
1bfg_1afcH,pass,0.28,0.28,213
1bkrA_1bhdA,pass,0.2,0.2,151
1bm9A_1cf7B,pass,0.0161,0.0161,128
1bn6A_1cv2A,pass,0.0827,0.0827,622
1bpv_2fnbA,pass,0.0,0.0,156
1bqg_1ec7B,pass,0.0302,0.0302,801
1bqg_1qumA,pass,0.0,0.0,877
1br9_1jc7A,pass,0.0,0.0,170
1brmA_1gcuA,pass,0.0,0.0,664
1bs0A_1elqA,pass,0.0548,0.0548,723
1btn_1dynA,pass,0.0,0.0,175
1btn_1qqgA,pass,0.0345,0.0345,590
1burA_1rusB,pass,0.0453,0.0453,372
1bw9A_1qorA,pass,0.0,0.0,735
1bx4A_1rkd,pass,0.00352,0.00352,679
1bylA_1ecsA,pass,0.132,0.132,196
1c0aA_1lylA,pass,0.00271,0.00271,1137
1cid_1kb5B,pass,0.0,0.0,381
1d2sA_1dykA,pass,0.0196,0.0196,1081
1db1A_2lbd,pass,0.0536,0.0536,479
1dkiA_1cv8,pass,0.0,0.0,228
1dlyA_2gdm,pass,0.0633,0.0633,178
1dpuA_1hstA,pass,0.0667,0.0667,105
1dtyA_2gsaA,pass,0.127,0.127,801
1dvjA_1ho1A,pass,0.181,0.181,499
1e32A_1e69B,pass,0.0,0.0,976
1e54A_3prn,pass,0.0502,0.0502,681
1eemA_1hqoA,pass,0.02,0.02,516
1enp_1eny,pass,0.0206,0.0206,602
1etb1_1gkeC,pass,0.128,0.128,165
1fchA_1hxiA,pass,0.0213,0.0213,651
1ffkE_1e7kB,pass,0.0513,0.0513,261
1fgxA_1ga8A,pass,0.0128,0.0128,617
1flp_1hlb,pass,0.319,0.319,195
1fm5A_1htn,pass,0.0467,0.0467,563
1fpzA_1vhrA,pass,0.042,0.042,415
1fr9A_1h7eA,pass,0.0471,0.0471,471
1fr9A_1i52A,pass,0.0694,0.0694,486
1g5rA_1g6oA,pass,0.0638,0.0638,658
1gen_1hxn,pass,0.112,0.112,471
1han_1cjxA,pass,0.0517,0.0517,719
1han_1eirA,pass,0.115,0.115,590
1hmcB_1jli,pass,0.0,0.0,103
1hn9A_1bi5A,pass,0.00733,0.00733,610
1htn_1rdo1,pass,0.12,0.12,268
1hxmA_1tvdA,pass,0.0,0.0,493
1hyhA_1ldnF,pass,0.196,0.196,622
1iq3A_2cblA,pass,0.0,0.0,484
1lcl_1sacA,pass,0.00952,0.00952,413
1lxa_2xat,pass,0.0,0.0,564
1mpgA_1mun,pass,0.0,0.0,612
1mugA_3eugA,pass,0.0,0.0,492
1nksA_1nstA,pass,0.0,0.0,755
1nksA_1qhiA,pass,0.0631,0.0631,708
1nox_1bkjA,pass,0.0424,0.0424,485
1nsgB_256bA,pass,0.0,0.0,110
1oaa_1ybvA,pass,0.118,0.118,566
1p35A_1i4eA,pass,0.137,0.137,148
1preA_1bcpB,pass,0.0,0.0,300
1qa9A_1wit,pass,0.317,0.317,143
1qa9A_2ncm,pass,0.378,0.378,148
1qfoA_1wit,pass,0.0128,0.0128,151
1qghA_1bcfA,pass,0.0,0.0,219
1qhiA_1qhsA,pass,0.0,0.0,707
1qpzA_2dri,pass,0.00769,0.00769,625
1qq4A_1svpA,pass,0.0526,0.0526,252
1qqp3_1mec3,pass,0.122,0.122,498
1rcf_5nul,pass,0.0522,0.0522,269
1rcy_1qhqA,pass,0.0928,0.0928,245
1rsy_1a25B,pass,0.0,0.0,238
1rthA_2rn2,pass,0.0,0.0,731
1sbp_1wod,pass,0.00448,0.00448,614
1taq_5ktqA,pass,0.00385,0.00385,2251
1tc1A_1qk3A,pass,0.175,0.175,461
1tfb_1c9bA,pass,0.0787,0.0787,408
1xbd_1ayoA,pass,0.0678,0.0678,193
1yghA_1bob,pass,0.0,0.0,652
2afpA_1ixxB,pass,0.0694,0.0694,217
2mbr_1qltA,pass,0.0,0.0,1229
2pkaA_1a7s,pass,0.0125,0.0125,480
3stdA_2std,pass,0.54,0.54,118
