testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.111,0.111,42785
1a02N_1a3qA,pass,0.0154,0.0154,27390
1a04A_1dz3A,pass,0.0,0.0,14793
1a28A_3erdA,pass,0.00437,0.00437,16391
1a36A_1a41,pass,0.0,0.0,97652
1a49A_1dxeA,pass,0.00538,0.00538,78403
1a49A_1pkyC,pass,0.0281,0.0281,70333
1a7w_1tafB,pass,0.0469,0.0469,849
1a8o_1qrjB,pass,0.0,0.0,165
1adeA_1dj3A,pass,0.0,0.0,45560
1aerA_1aerB,pass,0.0529,0.0529,106
1aoeA_1d1gA,pass,0.0395,0.0395,11461
1aoxA_1atzA,pass,0.0,0.0,12403
1aquA_1fmlB,pass,0.0803,0.0803,32850
1aqzA_9rnt,pass,0.1,0.1,521
1atg_1mrp,pass,0.0,0.0,34564
1avmA_3mdsA,pass,0.0112,0.0112,9824
1ax4A_2dkb,pass,0.0,0.0,83439
1axkA_2nlrA,fail,0,0,0
1b16A_1bsvA,pass,0.0,0.0,34961
1b6rA_1gsoA,pass,0.0314,0.0314,46202
1b8gA_1iaxA,pass,0.0461,0.0461,45017
1b9yC_1a0rP,pass,0.012,0.012,14503
1bak_1faoA,pass,0.101,0.101,3300
1bdb_1e7wA,pass,0.00897,0.00897,18378
1be3B_1ezvB,pass,0.0472,0.0472,55852
1bi0_1smtA,pass,0.0,0.0,13595
1bkrA_1aoa,pass,0.0,0.0,16670
1bmdA_1hyhA,pass,0.049,0.049,26531
1bmlC_1qqrC,pass,0.0,0.0,2512
1brmA_1qrrA,pass,0.087,0.087,44004
1btkA_1pls,pass,0.0,0.0,9106
1btkA_1rrpB,pass,0.0,0.0,8938
1bxkA_1db3A,pass,0.0241,0.0241,37577
1c0nA_1ecxA,pass,0.0366,0.0366,40752
1c4rA_1qu0A,pass,0.0261,0.0261,12516
1c8oA_1ovaA,pass,0.028,0.028,44792
1c9kB_2dhqA,pass,0.0,0.0,9406
1cf7A_1cf7B,pass,0.0,0.0,3300
1cg5B_3sdhA,pass,0.0,0.0,1301
1chmA_1ihoA,pass,0.0,0.0,51148
1ckeA_1dekA,pass,0.0,0.0,7986
1ckv_1g10A,pass,0.0444,0.0444,5566
1cvsC_1fltX,pass,0.0,0.0,23360
1d1gA_1vdrA,pass,0.0724,0.0724,8635
1d6jA_1nksA,pass,0.0,0.0,9234
1d7yA_1nhp,pass,0.0158,0.0158,56945
1db1A_3erdA,pass,0.00957,0.00957,10876
1di6A_1ihcA,pass,0.0473,0.0473,10453
1dosA_1zen,pass,0.0,0.0,29959
1dqnA_1tc1A,pass,0.0131,0.0131,15593
1dquA_1pymA,pass,0.0254,0.0254,83716
1dssG_1he2A,pass,0.00917,0.00917,39249
1dynA_1mai,pass,0.0,0.0,5946
1e69B_1f2tA,pass,0.0206,0.0206,20880
1e6bA_1aw9,pass,0.0629,0.0629,10807
1e6wA_1ybvA,pass,0.0702,0.0702,19714
1eaf_3cla,pass,0.0289,0.0289,16370
1eagA_1smrA,fail,0,0,0
1enp_1ej0A,pass,0.0,0.0,26570
1esc_1eny,pass,0.0,0.0,27653
1eyrA_1ga8A,pass,0.0,0.0,26206
1f94A_3ebx,pass,0.0189,0.0189,550
1fds_1he2A,pass,0.0169,0.0169,22014
1fo5A_1hyuA,pass,0.0,0.0,56599
1gca_2dri,pass,0.0407,0.0407,26310
1ggxA_1h4uA,fail,0,0,0
1ghj_1iyu,pass,0.0267,0.0267,1462
1gtxA_2dkb,pass,0.0379,0.0379,66643
1ifa_1huw,pass,0.0,0.0,9766
1jdc_1amy,pass,0.0033,0.0033,58198
1jk0A_1xikA,pass,0.00364,0.00364,53248
1kuh_1hfc,pass,0.0297,0.0297,2202
1lay_1at3A,pass,0.0197,0.0197,18801
1msc_1qbeA,pass,0.0707,0.0707,151
1pcl_1czfA,pass,0.0199,0.0199,37975
1pii_1a53,pass,0.0,0.0,89810
1pjr_1qvaA,pass,0.0,0.0,112998
1pmaA_1pmaP,pass,0.0212,0.0212,15062
1prs_1g6eA,pass,0.0,0.0,3220
1pty_1ytw,pass,0.0233,0.0233,25619
1pty_2shpA,pass,0.0,0.0,78732
1qhaA_1g99A,pass,0.0,0.0,226606
1qipA_1cjxA,pass,0.0,0.0,38281
1qqp3_2mev1,pass,0.00741,0.00741,18973
1rfs_1rie,pass,0.0,0.0,5006
1t1dA_1buoA,pass,0.0143,0.0143,3965
1taxA_1xas,pass,0.0772,0.0772,27259
1trb_1f6mF,pass,0.0,0.0,24096
1tul_1dun,pass,0.0,0.0,1549
1wer_1nf1A,pass,0.0128,0.0128,45225
2fnbA_1bpv,pass,0.0746,0.0746,2690
2hts_2irfG,pass,0.153,0.153,3347
2nsyA_1sur,pass,0.0,0.0,21232
2ohxA_3hudA,pass,0.0668,0.0668,34733
2tnfA_1d4vB,pass,0.0234,0.0234,7781
3erdA_1dkfA,pass,0.0547,0.0547,17437
3erdA_1ereB,pass,0.057,0.057,14467
3nul_1fil,pass,0.23,0.23,4471
4aahA_1flgB,pass,0.0158,0.0158,92496
