testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.0729,0.0729,61
1a02N_1a3qA,pass,0.0231,0.0231,63
1a04A_1dz3A,pass,0.00917,0.00917,75
1a28A_3erdA,pass,0.0218,0.0218,59
1a36A_1a41,pass,0.0,0.0,64
1a49A_1dxeA,pass,0.0161,0.0161,65
1a49A_1pkyC,pass,0.0,0.0,63
1a7w_1tafB,pass,0.0625,0.0625,50
1a8o_1qrjB,pass,0.0147,0.0147,49
1adeA_1dj3A,pass,0.0,0.0,61
1aerA_1aerB,pass,0.0212,0.0212,60
1aoeA_1d1gA,pass,0.164,0.164,55
1aoxA_1atzA,pass,0.0223,0.0223,56
1aquA_1fmlB,pass,0.106,0.106,56
1aqzA_9rnt,pass,0.05,0.05,52
1atg_1mrp,pass,0.0,0.0,58
1avmA_3mdsA,pass,0.00559,0.00559,55
1ax4A_2dkb,pass,0.0,0.0,57
1axkA_2nlrA,fail,0,0,0
1b16A_1bsvA,pass,0.0353,0.0353,63
1b6rA_1gsoA,pass,0.166,0.166,60
1b8gA_1iaxA,pass,0.0704,0.0704,60
1b9yC_1a0rP,pass,0.0241,0.0241,61
1bak_1faoA,pass,0.253,0.253,58
1bdb_1e7wA,pass,0.00448,0.00448,54
1be3B_1ezvB,pass,0.0295,0.0295,58
1bi0_1smtA,pass,0.0,0.0,52
1bkrA_1aoa,pass,0.0,0.0,57
1bmdA_1hyhA,pass,0.042,0.042,53
1bmlC_1qqrC,pass,0.0286,0.0286,57
1brmA_1qrrA,pass,0.0,0.0,61
1btkA_1pls,pass,0.0,0.0,54
1btkA_1rrpB,pass,0.0,0.0,60
1bxkA_1db3A,pass,0.0137,0.0137,71
1c0nA_1ecxA,pass,0.0592,0.0592,54
1c4rA_1qu0A,pass,0.0,0.0,60
1c8oA_1ovaA,pass,0.049,0.049,61
1c9kB_2dhqA,pass,0.0,0.0,50
1cf7A_1cf7B,pass,0.0833,0.0833,50
1cg5B_3sdhA,pass,0.0977,0.0977,51
1chmA_1ihoA,pass,0.0244,0.0244,60
1ckeA_1dekA,pass,0.0,0.0,57
1ckv_1g10A,pass,0.0333,0.0333,55
1cvsC_1fltX,pass,0.0,0.0,51
1d1gA_1vdrA,pass,0.23,0.23,51
1d6jA_1nksA,pass,0.0,0.0,56
1d7yA_1nhp,pass,0.0,0.0,63
1db1A_3erdA,pass,0.134,0.134,51
1di6A_1ihcA,pass,0.0203,0.0203,50
1dosA_1zen,pass,0.0,0.0,57
1dqnA_1tc1A,pass,0.0196,0.0196,55
1dquA_1pymA,pass,0.0,0.0,60
1dssG_1he2A,pass,0.0,0.0,54
1dynA_1mai,pass,0.0,0.0,51
1e69B_1f2tA,pass,0.0103,0.0103,52
1e6bA_1aw9,pass,0.0692,0.0692,59
1e6wA_1ybvA,pass,0.0833,0.0833,61
1eaf_3cla,pass,0.0116,0.0116,55
1eagA_1smrA,fail,0,0,0
1enp_1ej0A,pass,0.0,0.0,58
1esc_1eny,pass,0.0,0.0,59
1eyrA_1ga8A,pass,0.0,0.0,60
1f94A_3ebx,pass,0.302,0.302,55
1fds_1he2A,pass,0.0,0.0,62
1fo5A_1hyuA,pass,0.0,0.0,67
1gca_2dri,pass,0.0148,0.0148,60
1ggxA_1h4uA,fail,0,0,0
1ghj_1iyu,pass,0.08,0.08,50
1gtxA_2dkb,pass,0.0152,0.0152,53
1ifa_1huw,pass,0.0889,0.0889,61
1jdc_1amy,pass,0.0297,0.0297,65
1jk0A_1xikA,pass,0.00364,0.00364,60
1kuh_1hfc,pass,0.0396,0.0396,58
1lay_1at3A,pass,0.0921,0.0921,60
1msc_1qbeA,pass,0.0202,0.0202,61
1pcl_1czfA,pass,0.0,0.0,63
1pii_1a53,pass,0.0,0.0,61
1pjr_1qvaA,pass,0.0,0.0,61
1pmaA_1pmaP,pass,0.0423,0.0423,53
1prs_1g6eA,pass,0.0,0.0,50
1pty_1ytw,pass,0.0837,0.0837,50
1pty_2shpA,pass,0.0,0.0,55
1qhaA_1g99A,pass,0.0,0.0,66
1qipA_1cjxA,pass,0.0,0.0,61
1qqp3_2mev1,pass,0.0444,0.0444,50
1rfs_1rie,pass,0.0,0.0,51
1t1dA_1buoA,pass,0.0143,0.0143,80
1taxA_1xas,pass,0.0846,0.0846,63
1trb_1f6mF,pass,0.491,0.491,61
1tul_1dun,pass,0.0,0.0,52
1wer_1nf1A,pass,0.00426,0.00426,55
2fnbA_1bpv,pass,0.0,0.0,51
2hts_2irfG,pass,0.0,0.0,51
2nsyA_1sur,pass,0.0,0.0,50
2ohxA_3hudA,pass,0.147,0.147,55
2tnfA_1d4vB,pass,0.0234,0.0234,53
3erdA_1dkfA,pass,0.00498,0.00498,51
3erdA_1ereB,pass,0.0,0.0,56
3nul_1fil,pass,0.23,0.23,55
4aahA_1flgB,pass,0.0,0.0,60
