testcase,alignment_performed,q_score,tc_score,ms_elapsed
19hcA_1duwA,pass,0.104,0.104,26059
1a02N_1a3qA,pass,0.0462,0.0462,12498
1a04A_1dz3A,pass,0,0,9570
1a28A_3erdA,pass,0.0655,0.0655,8822
1a36A_1a41,pass,0,0,81563
1a49A_1dxeA,pass,0,0,57622
1a49A_1pkyC,pass,0,0,30497
1a7w_1tafB,pass,0,0,1317
1a8o_1qrjB,pass,0.0147,0.0147,1396
1adeA_1dj3A,pass,0,0,21075
1aerA_1aerB,pass,0.508,0.508,1266
1aoeA_1d1gA,pass,0.151,0.151,5850
1aoxA_1atzA,pass,0,0,6003
1aquA_1fmlB,pass,0.135,0.135,16857
1aqzA_9rnt,pass,0.113,0.113,1536
1atg_1mrp,pass,0.0248,0.0248,18064
1avmA_3mdsA,pass,0.0168,0.0168,5756
1ax4A_2dkb,pass,0,0,43056
1axkA_2nlrA,pass,0.0123,0.0123,45848
1b16A_1bsvA,pass,0.0471,0.0471,19020
1b6rA_1gsoA,pass,0.0538,0.0538,21012
1b8gA_1iaxA,pass,0.277,0.277,18345
1b9yC_1a0rP,pass,0.00602,0.00602,13171
1bak_1faoA,pass,0.0886,0.0886,2650
1bdb_1e7wA,pass,0.103,0.103,8673
1be3B_1ezvB,pass,0.0737,0.0737,24868
1bi0_1smtA,pass,0,0,10395
1bkrA_1aoa,pass,0.0326,0.0326,15242
1bmdA_1hyhA,pass,0.0979,0.0979,11839
1bmlC_1qqrC,pass,0,0,5348
1brmA_1qrrA,pass,0,0,20321
1btkA_1pls,pass,0,0,7464
1btkA_1rrpB,pass,0,0,5849
1bxkA_1db3A,pass,0.0619,0.0619,15065
1c0nA_1ecxA,pass,0.0535,0.0535,17593
1c4rA_1qu0A,pass,0.0196,0.0196,6177
1c8oA_1ovaA,pass,0.0594,0.0594,19978
1c9kB_2dhqA,pass,0.0238,0.0238,5190
1cf7A_1cf7B,pass,0.0667,0.0667,2367
1cg5B_3sdhA,pass,0.0677,0.0677,2432
1chmA_1ihoA,pass,0,0,28491
1ckeA_1dekA,pass,0,0,6162
1ckv_1g10A,pass,0.0333,0.0333,4626
1cvsC_1fltX,pass,0,0,24853
1d1gA_1vdrA,pass,0.138,0.138,4643
1d6jA_1nksA,pass,0,0,5284
1d7yA_1nhp,pass,0.124,0.124,30733
1db1A_3erdA,pass,0.00478,0.00478,7118
1di6A_1ihcA,pass,0.0135,0.0135,5097
1dosA_1zen,pass,0,0,13752
1dqnA_1tc1A,pass,0.0327,0.0327,9095
1dquA_1pymA,pass,0.00424,0.00424,61544
1dssG_1he2A,pass,0,0,21436
1dynA_1mai,pass,0,0,3935
1e69B_1f2tA,pass,0.0103,0.0103,15351
1e6bA_1aw9,pass,0.044,0.044,5958
1e6wA_1ybvA,pass,0.132,0.132,9566
1eaf_3cla,pass,0.0751,0.0751,8311
1eagA_1smrA,pass,0.0702,0.0702,13798
1enp_1ej0A,pass,0,0,18802
1esc_1eny,pass,0,0,17828
1eyrA_1ga8A,pass,0,0,14802
1f94A_3ebx,pass,0.434,0.434,1069
1fds_1he2A,pass,0.00565,0.00565,10771
1fo5A_1hyuA,pass,0,0,36754
1gca_2dri,pass,0.063,0.063,12476
1ggxA_1h4uA,pass,0.176,0.176,13297
1ghj_1iyu,pass,0.107,0.107,1699
1gtxA_2dkb,pass,0,0,27151
1ifa_1huw,pass,0,0,5238
1jdc_1amy,pass,0,0,22862
1jk0A_1xikA,pass,0.00727,0.00727,25589
1kuh_1hfc,pass,0.0396,0.0396,3011
1lay_1at3A,pass,0.125,0.125,8562
1msc_1qbeA,pass,0.131,0.131,1099
1pcl_1czfA,pass,0.0464,0.0464,15382
1pii_1a53,pass,0,0,72630
1pjr_1qvaA,pass,0,0,77487
1pmaA_1pmaP,pass,0.0476,0.0476,6980
1prs_1g6eA,pass,0,0,4076
1pty_1ytw,pass,0.121,0.121,11885
1pty_2shpA,pass,0,0,72300
1qhaA_1g99A,pass,0,0,228517
1qipA_1cjxA,pass,0,0,28819
1qqp3_2mev1,pass,0.0667,0.0667,11448
1rfs_1rie,pass,0,0,3528
1t1dA_1buoA,pass,0,0,3153
1taxA_1xas,pass,0.158,0.158,12552
1trb_1f6mF,pass,0.509,0.509,11180
1tul_1dun,pass,0,0,2134
1wer_1nf1A,pass,0.0596,0.0596,25400
2fnbA_1bpv,pass,0.194,0.194,2342
2hts_2irfG,pass,0.102,0.102,2591
2nsyA_1sur,pass,0,0,10256
2ohxA_3hudA,pass,0.586,0.586,15822
2tnfA_1d4vB,pass,0.0938,0.0938,4515
3erdA_1dkfA,pass,0.0448,0.0448,8877
3erdA_1ereB,pass,0.197,0.197,7604
3nul_1fil,pass,0.0902,0.0902,3420
4aahA_1flgB,pass,0.0415,0.0415,39889
