testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.0769,0.0769,34450
1a3qA_1gof,pass,0,0,51061
1a6dA_1derA,pass,0.0202,0.0202,36925
1adjA_1atiA,pass,0,0,37208
1ah1_1cid,pass,0,0,18221
1ajsA_1aam,pass,0.0494,0.0494,31739
1am2_1at0,pass,0.00746,0.00746,24795
1am7A_3lzt,pass,0,0,10544
1amj_1zymA,pass,0,0,64097
1an9A_1c0pA,pass,0.0596,0.0596,30554
1ash_2fal,pass,0.0851,0.0851,9386
1atg_1ixh,pass,0,0,26966
1au7A_2hddA,pass,0,0,10131
1auoA_1i6wA,pass,0.0373,0.0373,21756
1b8gA_1bjwA,pass,0.102,0.102,32444
1b93A_1g8mA,pass,0,0,47818
1bak_1dynA,pass,0,0,10096
1bbzA_1ckaA,pass,0.0755,0.0755,6393
1befA_2hrvA,pass,0,0,11186
1bfg_1afcH,pass,0.096,0.096,12280
1bkrA_1bhdA,pass,0.19,0.19,9864
1bm9A_1cf7B,pass,0.0161,0.0161,7936
1bn6A_1cv2A,pass,0.108,0.108,29816
1bpv_2fnbA,pass,0.0149,0.0149,11248
1bqg_1ec7B,pass,0.00756,0.00756,32633
1bqg_1qumA,pass,0,0,33987
1br9_1jc7A,pass,0.0109,0.0109,10835
1brmA_1gcuA,pass,0,0,28382
1bs0A_1elqA,pass,0.0639,0.0639,29430
1btn_1dynA,pass,0,0,12435
1btn_1qqgA,pass,0.046,0.046,23674
1burA_1rusB,pass,0.0227,0.0227,19781
1bw9A_1qorA,pass,0,0,30415
1bx4A_1rkd,pass,0.0704,0.0704,28956
1bylA_1ecsA,pass,0.272,0.272,11339
1c0aA_1lylA,pass,0.00271,0.00271,45174
1cid_1kb5B,pass,0,0,21881
1d2sA_1dykA,pass,0.0131,0.0131,38462
1db1A_2lbd,pass,0.0312,0.0312,20371
1dkiA_1cv8,pass,0,0,15275
1dlyA_2gdm,pass,0.0886,0.0886,12000
1dpuA_1hstA,pass,0,0,6740
1dtyA_2gsaA,pass,0.0727,0.0727,34939
1dvjA_1ho1A,pass,0.155,0.155,21661
1e32A_1e69B,pass,0,0,37246
1e54A_3prn,pass,0.0251,0.0251,31630
1eemA_1hqoA,pass,0,0,24365
1enp_1eny,pass,0.0823,0.0823,24344
1etb1_1gkeC,pass,0.41,0.41,10476
1fchA_1hxiA,pass,0.0106,0.0106,25402
1ffkE_1e7kB,pass,0.12,0.12,16084
1fgxA_1ga8A,pass,0,0,32043
1flp_1hlb,pass,0.138,0.138,9848
1fm5A_1htn,pass,0.0467,0.0467,23610
1fpzA_1vhrA,pass,0.014,0.014,22539
1fr9A_1h7eA,pass,0.112,0.112,19360
1fr9A_1i52A,pass,0.162,0.162,19253
1g5rA_1g6oA,pass,0,0,26435
1gen_1hxn,pass,0.00621,0.00621,21026
1han_1cjxA,pass,0,0,30120
1han_1eirA,pass,0.467,0.467,21892
1hmcB_1jli,pass,0.104,0.104,6855
1hn9A_1bi5A,pass,0.0659,0.0659,24065
1htn_1rdo1,pass,0.0185,0.0185,15461
1hxmA_1tvdA,pass,0.00909,0.00909,18643
1hyhA_1ldnF,pass,0.101,0.101,22824
1iq3A_2cblA,pass,0,0,17981
1lcl_1sacA,pass,0,0,16961
1lxa_2xat,pass,0,0,22758
1mpgA_1mun,pass,0,0,25682
1mugA_3eugA,pass,0,0,18241
1nksA_1nstA,pass,0.0222,0.0222,30239
1nksA_1qhiA,pass,0.036,0.036,28413
1nox_1bkjA,pass,0,0,19259
1nsgB_256bA,pass,0,0,6509
1oaa_1ybvA,pass,0.0084,0.0084,21400
1p35A_1i4eA,pass,0.513,0.513,12221
1preA_1bcpB,pass,0,0,18668
1qa9A_1wit,pass,0.0159,0.0159,10791
1qa9A_2ncm,pass,0.108,0.108,12024
1qfoA_1wit,pass,0.0897,0.0897,9820
1qghA_1bcfA,pass,0.048,0.048,12307
1qhiA_1qhsA,pass,0.0128,0.0128,29448
1qpzA_2dri,pass,0,0,26069
1qq4A_1svpA,pass,0.0211,0.0211,14202
1qqp3_1mec3,pass,0.117,0.117,22259
1rcf_5nul,pass,0.0149,0.0149,14504
1rcy_1qhqA,pass,0.0103,0.0103,15885
1rsy_1a25B,pass,0,0,16886
1rthA_2rn2,pass,0,0,28152
1sbp_1wod,pass,0,0,23800
1taq_5ktqA,pass,0.0173,0.0173,70743
1tc1A_1qk3A,pass,0.0195,0.0195,19998
1tfb_1c9bA,pass,0.202,0.202,19413
1xbd_1ayoA,pass,0.0508,0.0508,12154
1yghA_1bob,pass,0,0,24855
2afpA_1ixxB,pass,0,0,12533
2mbr_1qltA,pass,0.008,0.008,44426
2pkaA_1a7s,pass,0.0125,0.0125,18026
3stdA_2std,pass,0.578,0.578,7950
