testcase,alignment_performed,q_score,tc_score,ms_elapsed
1a0tP_2mprA,pass,0.148,0.148,3447
1a3qA_1gof,pass,0.0,0.0,4746
1a6dA_1derA,pass,0.121,0.121,3663
1adjA_1atiA,pass,0.0,0.0,3627
1ah1_1cid,pass,0.0,0.0,1948
1ajsA_1aam,pass,0.0779,0.0779,3267
1am2_1at0,pass,0.0522,0.0522,2365
1am7A_3lzt,pass,0.0714,0.0714,1451
1amj_1zymA,pass,0.0,0.0,5740
1an9A_1c0pA,pass,0.069,0.069,3165
1ash_2fal,pass,0.191,0.191,1317
1atg_1ixh,pass,0.0349,0.0349,2939
1au7A_2hddA,pass,0.037,0.037,1396
1auoA_1i6wA,pass,0.0311,0.0311,2227
1b8gA_1bjwA,pass,0.0691,0.0691,3065
1b93A_1g8mA,pass,0.0,0.0,4340
1bak_1dynA,pass,0.0441,0.0441,1357
1bbzA_1ckaA,pass,0.226,0.226,1145
1befA_2hrvA,pass,0.0,0.0,1461
1bfg_1afcH,pass,0.136,0.136,1637
1bkrA_1bhdA,pass,0.0,0.0,1377
1bm9A_1cf7B,pass,0.0161,0.0161,1226
1bn6A_1cv2A,pass,0.0468,0.0468,2598
1bpv_2fnbA,pass,0.0,0.0,1453
1bqg_1ec7B,pass,0.0479,0.0479,3273
1bqg_1qumA,pass,0.0,0.0,3483
1br9_1jc7A,pass,0.0109,0.0109,1429
1brmA_1gcuA,pass,0.0,0.0,2900
1bs0A_1elqA,pass,0.0685,0.0685,3132
1btn_1dynA,pass,0.0,0.0,1474
1btn_1qqgA,pass,0.0,0.0,2436
1burA_1rusB,pass,0.0932,0.0932,2045
1bw9A_1qorA,pass,0.0,0.0,3149
1bx4A_1rkd,pass,0.0106,0.0106,2975
1bylA_1ecsA,pass,0.114,0.114,1534
1c0aA_1lylA,pass,0.0271,0.0271,4086
1cid_1kb5B,pass,0.0,0.0,1982
1d2sA_1dykA,pass,0.0327,0.0327,3543
1db1A_2lbd,pass,0.0134,0.0134,2247
1dkiA_1cv8,pass,0.0,0.0,1752
1dlyA_2gdm,pass,0.0127,0.0127,1534
1dpuA_1hstA,pass,0.233,0.233,1230
1dtyA_2gsaA,pass,0.0545,0.0545,3460
1dvjA_1ho1A,pass,0.0311,0.0311,2473
1e32A_1e69B,pass,0.0,0.0,3641
1e54A_3prn,pass,0.0251,0.0251,3017
1eemA_1hqoA,pass,0.015,0.015,2323
1enp_1eny,pass,0.0782,0.0782,2650
1etb1_1gkeC,pass,0.333,0.333,1573
1fchA_1hxiA,pass,0.0106,0.0106,2577
1ffkE_1e7kB,pass,0.0855,0.0855,1804
1fgxA_1ga8A,pass,0.0,0.0,2592
1flp_1hlb,pass,0.123,0.123,1313
1fm5A_1htn,pass,0.0654,0.0654,2397
1fpzA_1vhrA,pass,0.042,0.042,2304
1fr9A_1h7eA,pass,0.0529,0.0529,2289
1fr9A_1i52A,pass,0.0694,0.0694,2312
1g5rA_1g6oA,pass,0.0213,0.0213,2784
1gen_1hxn,pass,0.0,0.0,2272
1han_1cjxA,pass,0.0517,0.0517,3200
1han_1eirA,pass,0.272,0.272,2470
1hmcB_1jli,pass,0.0,0.0,1171
1hn9A_1bi5A,pass,0.0586,0.0586,2524
1htn_1rdo1,pass,0.0185,0.0185,1782
1hxmA_1tvdA,pass,0.0,0.0,2176
1hyhA_1ldnF,pass,0.042,0.042,2617
1iq3A_2cblA,pass,0.0,0.0,2153
1lcl_1sacA,pass,0.0,0.0,2105
1lxa_2xat,pass,0.0,0.0,2338
1mpgA_1mun,pass,0.0,0.0,2560
1mugA_3eugA,pass,0.0,0.0,2238
1nksA_1nstA,pass,0.0,0.0,3040
1nksA_1qhiA,pass,0.018,0.018,2910
1nox_1bkjA,pass,0.00606,0.00606,2266
1nsgB_256bA,pass,0.0164,0.0164,1107
1oaa_1ybvA,pass,0.0798,0.0798,2263
1p35A_1i4eA,pass,0.441,0.441,1527
1preA_1bcpB,pass,0.0,0.0,2122
1qa9A_1wit,pass,0.0,0.0,1405
1qa9A_2ncm,pass,0.176,0.176,1397
1qfoA_1wit,pass,0.0256,0.0256,1465
1qghA_1bcfA,pass,0.0,0.0,1651
1qhiA_1qhsA,pass,0.0,0.0,2983
1qpzA_2dri,pass,0.00385,0.00385,2797
1qq4A_1svpA,pass,0.0,0.0,1836
1qqp3_1mec3,pass,0.168,0.168,2314
1rcf_5nul,pass,0.0448,0.0448,1923
1rcy_1qhqA,pass,0.0,0.0,1746
1rsy_1a25B,pass,0.0492,0.0492,1750
1rthA_2rn2,pass,0.0,0.0,3000
1sbp_1wod,pass,0.0,0.0,2566
1taq_5ktqA,pass,0.00578,0.00578,6385
1tc1A_1qk3A,pass,0.0519,0.0519,2161
1tfb_1c9bA,pass,0.135,0.135,2104
1xbd_1ayoA,pass,0.203,0.203,1565
1yghA_1bob,pass,0.0,0.0,2575
2afpA_1ixxB,pass,0.111,0.111,1713
2mbr_1qltA,pass,0.0,0.0,4155
2pkaA_1a7s,pass,0.0,0.0,2078
3stdA_2std,pass,0.491,0.491,1207
